,volume,price,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
242,63310149,4504047465,70.27000000000001,8535,60.98505541,72.64152329,95.95445905,67.53274885408783,64.237083297292,1.7658089525944578,-55.17241379310364,-32.65306122448993,1
2609,36067500,15674843876,429.05,21342,56.59604892,55.09017393,52.07842396,72.48870972365957,70.20560330941179,24.784420174543875,0.0,0.0,1
1543,34544879,5490320944,159.45,10001,62.93225479,75.35411386,100.197832,55.84648839781392,46.74100287413841,3.168894566144098,-100.0,-87.5,1
2053,33507731,7399813831,226.8,12287,10.00298013,12.46334435,17.38407277,29.751827715715347,27.158515319981625,-5.201408236980531,-100.0,-100.0,0
1478,17209761,2431736616,141.2,5052,60.07308956,58.51165788,55.38879452,52.73391242479809,52.40603461805149,0.7839778562352512,-85.71428571428571,-42.85714285714285,1
427,64921340,4514152505,69.65,16718,67.69187564,70.56424539,76.30898488,49.91616496028443,45.56887635627741,0.2914966945793267,-100.0,-62.50000000000004,1
2243,51889945,11453957730,222.45,12858,58.88182923,73.77338608,103.5564998,49.55570568197075,46.17219306473224,0.0305813354937258,-100.0,-76.19047619047619,1
193,31040128,1885446629,61.54,7976,43.75914278,54.73146707,76.67611565,48.50492481662911,42.3179879514499,0.3040288666896333,-100.0,-100.0,0
333,43256281,3243205073,74.16,8555,76.1410846,81.95469926,93.58192857,64.57170940819638,65.69328106452369,0.8376835672713557,-45.454545454545695,-15.624999999999986,1
1980,21846692,5281823362,232.6,10251,92.2098135,81.77659284,60.91015152,73.20533406418194,86.83623938876762,-0.385397559261058,0.0,0.0,1
168,20268099,1221660750,59.370000000000005,5050,70.62959489,51.98056562,14.68250709,53.50011388371311,61.7254039425422,-0.4457324736382425,-21.42857142857125,-16.666666666666536,1
190,58237104,3576277442,61.510000000000005,8728,67.04800915,68.61054185,71.73560725,56.7515058059041,57.49444189588977,0.3221621489821337,-12.500000000000222,-15.384615384615635,1
557,31283310,2645055555,84.95,9307,64.87946939,69.6694328,79.24935961,59.860694047449215,57.311800775126365,1.5527461715593645,-35.71428571428557,-36.36363636363619,1
2213,30270541,6713448829,222.95,10521,41.92680787,38.92242983,32.91367376,45.459624816035365,44.28357787562474,-2.0359036020058485,-100.0,-53.333333333333336,1
2138,70000506,17920548387,248.35,19019,75.90616416,73.96307205,70.07688781,64.18711701046543,63.38603542821747,3.715918202828661,-40.54054054054054,-31.25,1
1623,30008528,5229445495,172.15,8686,76.43076076,84.86032214,101.7194449,58.40922058544479,52.88457017287026,3.070697813196088,-80.0,-57.14285714285714,1
1232,44591655,6082343984,135.05,15558,37.55477628,21.86919561,-9.501965719,57.0550283177209,62.48208404978958,0.788094394170256,0.0,0.0,0
1294,112919978,16228885022,150.05,31660,32.76686017,53.72439252,95.63945724,35.459389477857975,22.35415794471004,1.581841079931139,-100.0,-100.0,0
1704,10226870,1866763623,181.85,4117,46.77773212,40.17908398,26.98178771,44.79525871050831,44.09984329225792,-0.9416531655765408,-77.77777777777779,-63.63636363636363,0
482,42027756,3130202061,75.28999999999999,12223,67.19990078,74.34711131,88.64153236,47.16375454706221,39.695769769347145,0.7394680672576495,-100.0,-83.33333333333334,1
1944,17274172,4118927788,240.15,5683,27.36841525,34.87476714,49.88747094,49.51919170777298,38.68782485625084,3.5853035022480206,-83.33333333333334,-92.3076923076923,0
2220,16893259,3678108462,221.4,6998,24.1358141,32.29369396,48.60945369,37.7896847052858,30.106787351623748,-1.9533949318569408,-100.0,-100.0,0
1111,38191504,4827284804,124.7,7469,63.89706309,54.00423554,34.21858044,64.10695780384202,71.5711563485909,0.9017829281912172,0.0,0.0,1
1370,27906576,3902530824,138.65,11095,54.92067422,46.41666854,29.40865719,45.9244935988905,48.81958604647462,-1.3136855907582277,-28.57142857142857,-37.5,1
820,26287666,2792181370,103.42999999999999,7044,74.98517267,72.41033033,67.26064565,64.95332749828806,69.34127415065701,0.434446463287276,-60.0,-16.483516483516496,1
2111,21530312,5173924310,229.75,8491,83.63447679,82.59032437,80.50201954,74.88395364692835,84.78057558190052,1.1834562036075982,-3.0303030303030303,-2.4390243902439024,1
1597,30409069,5013175385,163.25,8180,77.86103162,68.18364507,48.82887199,69.20020582581395,72.60992045826565,2.7441194971569183,0.0,0.0,1
2320,24443428,5745045809,232.95,11779,48.84365673,34.11961904,4.67154366,38.63788934300251,42.03206352712478,-5.344689916786554,-58.82352941176471,-58.82352941176471,0
2161,38009727,9690178362,261.05,15094,30.98453936,49.95768723,87.90398296,42.33399029797168,32.036306684823366,3.3290489679038013,-100.0,-100.0,0
329,45484174,3378326290,72.39,11504,89.84209628,81.825283,65.79165643,68.3922031423855,75.2913535361584,0.3861361141920939,0.0,0.0,1
2527,22196596,6202532380,277.05,12809,71.49783307,73.50152682,77.5089143,47.20872045323762,50.30088081758301,-8.813278939403805,-100.0,-37.142857142857146,1
648,30295284,2512605986,80.96000000000001,9611,86.57423457,86.40360347,86.06234128,64.44920321767152,71.60864136870903,0.2878584729709875,0.0,0.0,1
1728,30211764,5453513284,180.9,10947,24.02059951,23.57172702,22.67398205,43.148489701465934,41.49650347478951,-0.6666050346617506,-57.14285714285714,-76.92307692307693,0
13,24842055,1552278255,63.260000000000005,8212,24.25219792,26.34050655,30.51712382,24.96270770387562,31.225776425848267,-0.1583038982716771,-89.99999999999986,-94.99999999999991,0
589,32414856,2663937884,84.35,9547,25.61606561,28.04084964,32.8904177,40.49620428854052,36.00945062326705,0.2891061425333857,-81.08108108108102,-81.08108108108102,0
848,25581235,2802975365,109.55,4331,37.51333776,33.08992795,24.24310833,47.56811568973589,46.55435437465093,0.838889061729668,-20.0,-55.55555555555556,0
657,25494308,2092454556,82.69,5553,42.35409834,58.92225896,92.05858021,53.64851247984598,47.01721559798319,0.999316971894152,-100.0,-100.0,0
613,31117704,2497597034,80.07,7911,70.57027171,69.3613292,66.94344418,48.48041854497994,49.32766525103928,-0.8832022781555915,-100.0,-42.85714285714285,1
2442,32423561,9922872967,309.9,15368,31.97891999,48.61805652,81.89632959,48.7868711875686,38.26374450356258,5.419149104531921,-100.0,-100.0,0
1895,28148528,6117444609,216.95,6999,80.47464305,81.51548963,83.5971828,55.73438075511722,55.033317099301605,0.967234104190682,-66.66666666666666,-50.0,1
368,48913227,3508412909,73.52000000000001,11473,22.23947433,22.28809795,22.38534519,38.71748127598708,36.53935620127042,-0.219403473379512,-46.666666666666856,-82.22222222222229,0
1440,20463741,2815951517,138.4,6452,39.29532789,56.07297263,89.6282621,50.95218224024818,39.616126147099536,2.4663164460860063,-100.0,-100.0,0
998,30933475,3209563219,103.85,7305,35.34775259,44.56652995,63.00408466,51.935732561097645,54.82292849033051,-0.1634010230903788,-20.0,-50.0,0
131,29941025,1798001526,60.15999999999999,4878,47.70197401,40.54459523,26.22983769,44.96840450115532,42.855525511986365,-0.0987930903591344,-62.50000000000022,-78.94736842105269,0
1271,38571667,5752407636,145.1,13408,73.06873819,64.3973639,47.05461532,64.5525037906244,70.55527369877873,2.0654082314121767,0.0,0.0,1
2118,25165097,6205758662,243.9,9585,80.78621649,86.16590597,96.92528495,73.10853303788446,73.57482398466676,5.069467783109727,-28.57142857142857,-13.333333333333334,1
2016,20645694,5172732531,244.8,8817,74.42741346,67.14593266,52.58297106,55.73835411872393,61.23024996696902,-0.024356805609846,-5.0,-4.761904761904762,1
437,57263562,3968213591,69.1,8736,52.28253947,51.87841115,51.0701545,49.37593380368776,46.24514728294374,0.287231242431211,-71.42857142857115,-41.93548387096773,1
177,66009939,4076808393,60.510000000000005,13469,88.90358812,80.86890578,64.79954112,65.66259930119418,72.96287371021603,-0.0374375735591384,0.0,0.0,1
1859,18756453,3998545790,210.5,8905,72.04722703,61.72907233,41.09276294,58.94928553507847,64.42830780445841,0.756500841144033,-12.5,-5.88235294117647,1
35,54451553,3269667531,58.81999999999999,13024,63.22821165,52.17433239,30.06657387,50.793433762872695,61.10226334595732,-0.7198745321709067,0.0,0.0,1
1118,39336800,5286821200,131.1,10775,88.48093877,86.86001856,83.61817815,71.91523492212562,71.01507768937329,2.346625728948845,-100.0,-17.391304347826086,1
2276,31024810,7568601014,243.2,6712,61.909167,67.58280088,78.93006865,61.72732828117314,62.63728091051384,3.632979174417276,0.0,-37.5,1
2424,32253184,9965563625,298.7,13698,89.70826027,83.07879257,69.81985717,82.36323714822748,89.34647614824866,7.743289440931915,0.0,0.0,1
379,89121604,6223266856,71.8,20328,24.32399674,32.80654015,49.77162699,36.7338464180065,33.887331520079414,-0.8208101784077815,-100.0,-100.0,0
2282,33174934,8403528302,247.2,9992,86.37386577,75.50871928,53.77842632,73.24910695224337,82.01187486929723,4.136008132188968,0.0,0.0,1
1452,32132740,4335757140,139.5,13597,21.95604687,36.47788409,65.52155853,41.85271151190564,32.52708835484286,1.590556764804931,-100.0,-100.0,0
2575,48130280,15102300186,316.45,12915,41.54091165,53.7895872,78.28693832,59.57880625507556,56.21429816201565,5.253568948390003,-9.090909090909092,-61.53846153846154,1
1544,63133315,9740564255,158.8,19206,41.95483653,64.22102141,108.7533912,40.69069511855128,27.65834440381376,2.9929415371394112,-100.0,-100.0,0
1216,26580345,3738733402,136.95,9496,82.41534155,81.04025474,78.29008112,70.93228439532282,76.25402322773714,2.8061995906650314,0.0,0.0,1
1891,26945202,5837056904,215.45,6585,81.77788043,78.84332569,72.97421621,55.64171420423616,56.478679811230926,0.7788109520155527,-66.66666666666666,-16.666666666666664,1
281,82661396,5929226108,72.57,18155,41.3102155,31.90309082,13.08884145,44.74978062868756,41.66048418081022,0.2858477439591066,-69.23076923076906,-54.16666666666674,0
1476,41615595,5964658320,141.45,8307,63.49778485,56.54159589,42.62921796,52.7536959033852,52.17866022437562,0.7936645372776688,-42.85714285714285,-42.85714285714285,1
554,49939887,4189509235,84.25,9545,69.90570918,79.2911265,98.06196115,56.61007394613616,50.96340549676307,1.5381576647375257,-77.27272727272731,-36.17021276595749,1
2070,17673270,4020203060,228.2,7239,43.32466606,46.83292451,53.84944141,44.000775794631245,41.89569933740398,-2.460798142726829,-100.0,-50.0,1
1584,21999904,3500288755,155.1,7933,92.53930099,89.73584802,84.12894207,69.69469122426891,79.66326156706826,0.2094784385731799,0.0,0.0,1
2524,38698826,11016972354,275.4,19126,80.5208729,70.48795658,50.42212394,52.21632956475644,63.01556623286747,-11.23543863057836,0.0,0.0,1
2382,14776854,3800453292,253.8,7608,73.84944453,64.21698113,44.95205434,59.04401411194677,64.96859579109992,0.3307138312560453,-16.666666666666664,-14.285714285714285,1
2212,18964952,4229977248,224.1,6449,40.66798958,37.42024081,30.92474329,46.98386985661099,47.46687125306891,-2.095417085507425,-75.0,-70.0,0
1060,51075652,6208178396,119.75,10989,82.61123769,80.9272104,77.55915582,65.68182980531063,63.592077515784176,2.4068326569184118,-50.0,-30.0,1
361,42663024,3234102432,75.81,9032,37.69882602,41.63443669,49.50565804,52.130894225233945,52.5039556943694,0.5582637458398116,-39.28571428571412,-48.48484848484836,0
1266,28668194,4131250622,144.45,10068,60.60668089,66.69224476,78.86337249,53.426849446821,48.12411887008536,1.9798490756532907,-85.71428571428571,-66.66666666666666,1
1348,28696598,4063948476,141.4,11387,61.53406415,47.90222665,20.63855166,44.6398005479022,46.42344379703799,-1.265476675079107,-50.0,-41.66666666666667,1
2371,25696715,6420744887,249.3,8994,54.71429538,46.41894203,29.82823533,46.80368122294889,47.01600321011247,0.658568240193453,-22.22222222222222,-50.0,0
25,16391569,948580952,59.410000000000004,5867,13.90065834,15.01040076,17.22988561,31.26280347043508,33.93887703120902,-0.7590604264980481,-69.23076923076927,-81.39534883720935,0
1596,28042486,4621986401,162.75,10369,66.79154742,63.3449518,56.45176055,68.23356471952486,70.95474471150247,2.6642943824162644,0.0,0.0,1
1783,39522318,7662549266,192.15,9380,85.44101492,83.32667913,79.09800756,67.6623289464341,71.94749749172588,1.5611840677409052,0.0,-5.88235294117647,1
151,65690790,3950320165,61.21,13842,14.5703786,23.7646312,42.15313641,33.83511781596778,20.11233023474003,0.1218191184232116,-100.0,-100.0,0
1087,19854258,2439783565,121.6,7319,75.60408355,73.20652391,68.41140464,64.18465175878015,72.25933194329573,0.8683658454917678,0.0,0.0,1
