X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,109/10/21,135987,5764735,42.45,42.55,42.3,42.3,0.0999999999999943,137,0,65.0269729,62.53162527,57.54093001,59.51461458610412,64.83742633082367,0.0243088041749597,0.0,-7.692307692308365,1
2659,109/10/22,75602,3204488,42.55,42.55,42.3,42.269999999999996,-0.25,86,1,62.64956088,62.57093714,62.41368966,53.84179054309871,53.08238462721917,0.0414173440444164,-41.66666666666706,-41.66666666666706,1
2660,109/10/23,108720,4616199,42.3,42.55,42.3,42.265,0.2000000000000028,102,1,68.0821634,64.40801256,57.05971089,57.41391116401305,60.037744860182485,0.0580720875582027,-19.999999999998863,-8.33333333333294,1
2661,109/10/26,96756,4119730,42.6,42.65,42.5,42.30499999999999,0.0499999999999971,163,0,73.16588671,67.32730394,55.65013841,58.30133683508743,61.73934440013343,0.0742346938954988,0.0,0.0,1
2662,109/10/27,204090,8670945,42.5,42.6,42.4,42.355000000000004,-0.0999999999999943,229,0,72.85133188,69.16864659,61.803276,55.74570479992565,56.01503350293606,0.0874769301742467,-39.999999999997726,-16.66666666666588,1
2663,109/10/28,139161,5921074,42.5,42.65,42.4,42.37,0.0,166,0,72.64162866,70.32630728,65.69566452,55.74570479992565,56.01503350293606,0.097995177551146,-39.999999999997726,-16.66666666666588,1
2664,109/10/29,113842,4804968,42.3,42.4,42.1,42.394999999999996,-0.0500000000000042,136,0,67.47537149,69.37599535,73.17724307,54.305516967849066,52.50967057240602,0.1052336259189784,-100.0,-25.0,1
2665,109/10/30,81482,3443727,42.4,42.4,42.2,42.42,-0.1999999999999957,100,1,50.53913655,63.09704241,88.21285415,48.7624981843449,40.38028059621493,0.106606176472854,-100.0,-100.0,0
2666,109/11/02,58085,2453578,42.2,42.3,42.1,42.410000000000004,0.0499999999999971,102,1,42.78366679,56.32591721,83.41041804,50.16144289995734,44.2440578319545,0.1047848883075294,-80.00000000000114,-85.71428571428629,0
2667,109/11/03,73831,3124909,42.25,42.4,42.25,42.394999999999996,0.0499999999999971,103,1,40.64365665,51.09849702,72.00817777,51.61462292798596,48.267234405941885,0.101616133684577,-60.000000000002274,-71.42857142857258,1
2668,109/11/04,193772,8228748,42.35,42.6,42.3,42.385000000000005,0.1500000000000056,155,1,48.30789231,50.16829545,53.88910173,55.86164076479755,58.93458661527821,0.0999304832138612,0.0,-28.57142857142741,1
2669,109/11/05,159209,6794087,42.5,42.8,42.5,42.42,0.1999999999999957,180,1,58.39573773,52.91077621,41.94085317,60.89577775325989,69.12193217770483,0.1022258996821256,0.0,0.0,1
2670,109/11/06,241941,10365005,42.7,42.95,42.7,42.464999999999996,0.3000000000000042,240,1,72.26382515,59.36179252,33.55772727,67.08920645857462,78.65379858708866,0.1114495735401737,0.0,0.0,1
2671,109/11/09,416161,18016427,42.95,43.6,42.95,42.57000000000001,0.6499999999999986,415,1,81.50921677,66.74426727,37.21436828,76.10794479469853,88.15812873353698,0.1346485789307946,0.0,0.0,1
2672,109/11/10,442360,19419074,43.75,44.1,43.75,42.72,0.3500000000000014,400,1,85.17281118,72.88711524,48.31572337,79.4443977862356,90.80384433646137,0.1706680754178076,0.0,0.0,1
2673,109/11/11,496126,22038972,44.1,44.5,44.1,42.92,0.5,464,0,89.42076301,78.39833116,56.35346748,83.14348057450918,93.35060511993258,0.220423226735333,0.0,0.0,1
2674,109/11/12,292877,12935586,44.6,44.65,43.75,43.105000000000004,-0.2000000000000028,304,1,87.71841717,81.5050265,69.07824516,77.04318664978885,82.39750319496714,0.2724861008365708,-13.333333333333522,-8.888888888889015,1
2675,109/11/13,384697,17065874,44.25,44.5,44.1,43.334999999999994,0.25,315,0,89.72894478,84.24633259,73.28110822,79.14694101204819,85.03188316189761,0.3266337420269387,0.0,0.0,1
2676,109/11/16,321539,14378355,44.85,45.0,44.4,43.555,-0.0499999999999971,304,0,86.3625064,84.95172386,82.13015879,77.58281534613806,82.08358305371645,0.3777073808471755,-9.09090909090862,-2.2727272727271406,1
2677,109/11/17,332371,14691812,44.6,44.6,44.15,43.74,-0.3000000000000042,257,1,79.57500426,83.15948399,90.32844346,68.6311703868753,65.68553577708097,0.4185297336833702,-100.0,-17.07317073170741,1
2678,109/11/18,156855,6939167,44.2,44.35,44.1,43.925,0.1499999999999985,169,0,76.23840864,80.85245888,90.08055935,70.50304676029711,69.35835200051996,0.452226052344003,-57.14285714285773,-10.810810810810956,1
2679,109/11/19,153998,6810567,44.3,44.35,44.0,44.085,-0.0499999999999971,165,1,71.96381714,77.8895783,89.74110061,68.99345957516897,66.51078443798392,0.4778610586859618,-71.42857142857115,-16.129032258064548,1
2680,109/11/20,146471,6486465,44.45,44.45,44.15,44.220000000000006,0.0499999999999971,149,1,62.64254476,72.80723379,93.13661184,69.7069465536833,68.08322942221629,0.4968081400314859,-50.00000000000119,-22.222222222222573,1
2681,109/11/23,190326,8458104,44.3,44.6,44.3,44.3,0.1000000000000014,209,0,59.09502984,68.23649914,86.51943773,71.16660486221019,71.31564248489008,0.5110332375935381,0.0,-18.18181818181853,1
2682,109/11/24,165670,7333647,44.35,44.35,44.2,44.33,-0.1499999999999985,164,1,52.73001989,63.06767272,83.74297838,65.92524644603644,60.31954731427997,0.5179950735670411,-100.0,-71.42857142857115,1
