X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
1143,110/07/01,2885901,86088712,29.8,29.95,29.7,29.8,0.0,1448,0,83.37008046,79.83762577,72.77271639,55.19564534128418,56.14254099886067,0.0714120939889168,-100.0,-14.28571428571448,1
1144,110/07/02,3061306,91174478,29.8,29.85,29.75,29.880000000000003,-0.0999999999999978,1335,1,68.91338697,76.19621284,90.76186457,52.48734439472381,48.45051722281861,0.080494293364987,-100.0,-41.66666666666657,1
1145,110/07/05,3102915,92726989,29.8,30.0,29.7,29.929999999999996,0.1499999999999985,1354,0,69.27559131,73.889339,83.11683436,56.0459127786884,58.64846330725516,0.088347074299598,-25.000000000000444,-28.571428571428864,1
1146,110/07/06,4828422,145054223,29.95,30.25,29.9,29.954999999999995,0.0,2168,0,64.13244549,70.63704116,83.6462325,56.04591277868841,58.64846330725516,0.0948162629670938,0.0,-40.00000000000057,1
1147,110/07/07,3848454,115002875,29.9,30.0,29.75,29.945,-0.0500000000000007,2079,1,58.13957905,66.47122046,83.13450328,54.40249146125501,53.56231546618864,0.0990652910060409,-33.333333333334124,-60.00000000000085,1
1148,110/07/08,3945416,117858813,29.95,30.0,29.8,29.945,0.0500000000000007,2477,0,56.70843731,63.21695941,76.2340036,55.82728439896232,57.939437592549325,0.1022719552643536,0.0,-40.00000000000057,1
1149,110/07/09,4299205,127779679,29.85,29.9,29.6,29.925,-0.0999999999999978,2230,0,50.6261377,59.02001884,75.80778112,52.236360265547965,47.25047559389459,0.1028286473907462,-100.0,-79.99999999999972,0
1150,110/07/12,2275947,67819638,29.95,29.95,29.7,29.889999999999997,-0.1500000000000021,1179,1,38.87896359,52.30633376,79.16107408,47.224373912313474,35.471382007155405,0.0990676759215249,-100.0,-100.0,0
1151,110/07/13,2512167,74788591,29.8,29.9,29.7,29.869999999999997,0.1000000000000014,1240,0,36.17571932,46.92946228,68.43694819,50.69366782920677,46.20070377107226,0.0941672792194312,-59.99999999999943,-59.99999999999943,0
1152,110/07/14,3205445,95140889,29.85,29.9,29.6,29.85,-0.1000000000000014,1324,1,29.24535134,41.03475863,64.61357321,47.27518338610748,38.515775793459625,0.0869995318754881,-100.0,-100.0,0
