X,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2013,8100162,2427703282,299.0,303.0,296.5,301.0,4263,66.77212421,69.7654758,75.75217899,52.0896608,55.16940819,-1.724882134,-20.0,-17.94871795,1
2014,10376719,3152730919,297.5,307.5,297.5,300.0,5525,58.61731357,66.04942172,80.91363803,51.01690395,52.98855805,-1.535424625,-33.33333333,-47.36842105,1
2015,11617109,3566334106,304.0,309.5,302.5,309.5,6605,72.41154238,68.17012861,59.68730107,59.69172083,67.5926804,-1.200188299,0.0,0.0,1
2016,8455746,2622196817,309.5,312.5,307.5,310.5,4353,77.90399122,71.41474948,58.436266,60.50167755,68.81632915,-0.772464387,0.0,0.0,1
2017,12539320,3982510120,312.0,322.5,311.5,317.0,8073,78.72170843,73.85040246,64.10779053,65.46360692,75.91093412,-0.203728737,0.0,0.0,1
2018,10215713,3261185234,317.0,320.5,317.0,319.0,5451,81.64780562,76.44953685,66.05299931,66.87216359,77.77769214,0.455949448,0.0,0.0,1
2019,6017705,1896267707,319.0,319.0,313.5,313.5,3822,76.85611284,76.58506218,76.04296086,59.5279748,61.93821934,1.049258742,-57.89473684,-22.91666667,1
2020,8616499,2743713183,313.5,321.0,313.5,318.0,4645,79.11619644,77.4287736,74.05392792,63.16847202,68.280471,1.639270446,-11.76470588,-4.166666667,1
2021,12301493,3925794781,322.0,322.5,317.0,317.0,5719,79.02618224,77.96124315,75.83136496,61.80940614,65.37552355,2.176595251,-36.36363636,-8.333333333,1
2022,18084889,6054487648,321.5,344.0,320.5,334.0,11517,78.84899605,78.25716078,77.07349025,72.76631687,81.46346536,2.918993646,0.0,0.0,1
2023,16137222,5490746480,335.0,344.0,335.0,342.5,10246,84.69451142,80.40294433,71.81981014,76.47798342,85.50456657,3.879970001,0.0,0.0,1
2024,12857200,4371958070,348.0,348.0,335.0,336.0,9317,79.91979774,80.24189546,80.88609092,68.61205295,71.25060964,4.815023878,-25.49019608,-19.6969697,1
2025,5677495,1917408825,339.0,342.0,335.0,336.0,4026,75.65429438,78.7126951,84.82949654,68.61205295,71.25060964,5.673838566,-25.49019608,-20.3125,1
2026,6414475,2101407300,324.0,334.0,323.0,328.0,4629,64.44585809,73.95708276,92.97953211,59.4986097,55.00062718,6.299280369,-100.0,-50.0,1
2027,11777725,4033222125,328.5,347.5,328.0,347.0,8240,75.33105515,74.41507356,72.58311038,69.93231151,72.72754931,7.034438444,0.0,0.0,1
2028,12445408,4238582628,343.0,345.0,334.0,342.5,9095,78.24002711,75.69005808,70.59012002,65.53399261,65.40476224,7.711998572,-23.68421053,-13.43283582,1
