,volume,price,open,high,low,close,times,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result
2658,74868602,1115529626,14.9,15.15,14.6,14.684999999999999,13750,59.1455679,60.09695047,61.9997156,69.23894738282787,74.1584752985008,0.3935117783136419,0.0,0.0,1
2659,293901225,4542472009,15.3,15.85,15.0,14.819999999999999,49489,72.76371194,64.31920429,47.430189,76.02749745480499,83.50256858150532,0.4191592694235853,0.0,0.0,1
2660,379859991,6386868574,16.0,17.4,15.95,15.120000000000001,79425,81.84247462,70.1602944,46.79593396,84.40842598466313,91.58638621725488,0.4747274006276645,0.0,0.0,1
2661,457258594,8325419446,17.5,18.9,17.3,15.540000000000001,98348,85.69718088,75.33925656,54.62340792,87.98549220622643,94.2183619046857,0.5641995354957118,0.0,0.0,1
2662,265033706,4740103198,18.3,18.5,17.5,15.820000000000002,61886,82.4061792,77.69489744,68.27233393,75.31433968705966,75.35908960683994,0.6561823082443984,-23.188405797101463,-19.51219512195123,1
2663,179843837,3111908173,17.65,17.7,17.0,16.035,38877,75.81657368,77.06878952,79.57322121,67.31637108430822,63.855571343330006,0.733848589450548,-50.90909090909095,-34.14634146341468,1
2664,144544085,2468518023,16.85,17.35,16.7,16.29,29548,71.14363339,75.09373748,82.99394565,67.31637108430822,63.855571343330006,0.7967975869384298,-100.0,-34.14634146341468,1
2665,97878624,1676866345,17.1,17.5,16.9,16.535,22270,66.15568069,72.11438521,84.03179427,63.89542736003376,58.497781332023926,0.8414175187814495,-100.0,-40.74074074074079,1
2666,58563212,994643228,17.1,17.25,16.8,16.775,13595,62.32084139,68.8498706,81.90792904,63.89542736003376,58.497781332023926,0.8702923360865593,-100.0,-41.77215189873422,1
2667,158065171,2779140790,17.3,17.9,17.15,17.07,32800,63.76944981,67.15639701,73.93029139,68.87204764528549,68.41871472533857,0.8961715530907483,0.0,-28.9855072463768,1
2668,125189051,2225652529,17.8,18.1,17.5,17.330000000000002,26981,62.85194959,65.7215812,71.46084442,69.924390652256,70.3795115034392,0.9191671606888048,0.0,-30.909090909090946,1
2669,65613317,1146520630,17.75,17.85,17.3,17.48,15615,51.74978458,61.06431566,79.69337783,63.61578904795927,58.71420964194501,0.9306731757577889,-49.99999999999978,-75.75757575757565,0
2670,104006316,1837537410,17.7,18.1,17.3,17.475,23724,46.53689342,56.22184158,75.5917379,63.61578904795927,58.71420964194501,0.9322533800738628,-49.99999999999978,-75.75757575757565,1
2671,42772343,746665132,17.65,17.7,17.3,17.355,10368,47.69126228,53.37831515,64.75242088,64.10559777639861,59.91027607940348,0.9262023683525716,-87.50000000000067,-47.05882352941194,0
2672,60080917,1050238728,17.5,17.75,17.2,17.325,13101,50.8417939,52.53280807,55.91483639,65.13809144968765,62.51646831097779,0.9151699013400256,-62.50000000000022,-31.24999999999997,0
2673,42322266,741003041,17.6,17.7,17.35,17.35,11268,50.56119593,51.87560402,54.5044202,64.12361639853326,60.1695322074452,0.8987099166861201,-33.333333333334124,-37.50000000000006,0
2674,74897709,1323904214,17.6,17.95,17.4,17.419999999999998,18522,61.91259216,55.22126674,41.83861588,68.91625683691605,71.65986298556476,0.8848420742065265,0.0,0.0,1
2675,113393251,1988038217,17.75,17.75,17.4,17.465,25263,50.04699127,53.49650825,60.3955422,59.243369759866205,51.75337859727824,0.8633319693924828,-100.0,-52.63157894736846,1
2676,72411422,1238400841,17.25,17.3,17.0,17.475,19467,34.87981236,47.29094295,72.11320413,53.46512722734453,41.96181324652978,0.8306076840641526,-100.0,-100.0,1
2677,46996004,813403996,17.1,17.45,17.1,17.435,12267,29.3138143,41.29856673,65.2680716,55.5107565208933,47.1082411144842,0.7930700682219965,-82.35294117647071,-82.35294117647071,0
2678,35826304,625649985,17.3,17.55,17.3,17.4,10003,31.66375499,38.08696282,50.93337848,58.20539233617144,53.67998630884764,0.7558666499977218,-58.82352941176485,-58.82352941176485,0
2679,27235393,474850835,17.45,17.6,17.3,17.41,6915,36.89864368,37.69085644,39.27528196,58.89012943781141,55.3445057131835,0.7198979128311751,0.0,-52.94117647058828,0
2680,75062425,1328416179,17.55,17.9,17.5,17.43,18784,43.8973414,39.75968476,31.48437148,60.320321721406245,58.89001587209317,0.686543239101378,0.0,-41.17647058823515,1
2681,152707318,2748696034,17.65,18.3,17.65,17.5,33707,57.47002247,45.66313066,22.04934704,67.2197874412199,73.02529678815455,0.6637856746634107,0.0,0.0,1
2682,180539755,3364426874,18.65,19.0,18.3,17.6,45363,63.31334831,51.54653655,28.01291301,71.22279100543085,79.2514900376631,0.6537320267215416,0.0,0.0,1
2683,149740124,2709215734,18.75,18.8,17.6,17.625,39391,53.87556554,52.32287954,49.21750755,56.14033979344845,50.99974963524296,0.6379144560728204,-76.1904761904762,-55.17241379310352,1
2684,51167542,903085831,17.75,17.8,17.5,17.6,13455,46.75037703,50.46537871,57.89538206,55.33473237433728,49.67171861127031,0.617061696647947,-89.47368421052653,-58.62068965517254,0
2685,121637515,2202588267,17.75,18.3,17.7,17.68,25431,50.46516363,50.46530701,50.46559378,61.94275001276268,62.545764319466734,0.6015146349021223,-35.29411764705885,-20.68965517241385,1
2686,118188403,2178043154,18.35,18.7,18.3,17.805,22178,53.25128556,51.39396653,47.67932847,63.03646642737605,64.52563201560575,0.5903325524086956,-23.52941176470576,-15.38461538461532,1
2687,349286564,6732665269,18.65,20.05,18.35,18.08,78541,67.62206916,56.80333407,35.1658639,75.70757911946752,82.66708419648364,0.6074518366146421,0.0,0.0,1
2688,525128522,11283722342,20.4,21.9,20.4,18.529999999999998,110274,78.41471277,64.00712697,35.19195537,83.19608410733312,89.9534040426108,0.6711390535134117,0.0,0.0,1
2689,278588504,6087350718,22.2,22.3,21.35,18.94,72236,80.40147518,69.47190971,47.61277876,78.42305377557729,82.4850243394444,0.7535618520608219,-9.459459459459405,-8.045977011494209,1
2690,317711078,7359079447,22.2,23.7,22.2,19.555,82713,86.93431679,75.29271207,52.00950263,84.45087501196737,89.1347162228709,0.8759914853312523,0.0,0.0,1
2691,412276465,10651552723,25.2,26.05,25.0,20.35,79109,91.28954453,80.62498955,59.29587961,88.36044403768571,92.74665826067044,1.0525749795664212,0.0,0.0,1
2692,318986950,8234814825,25.8,26.4,25.05,21.134999999999998,82174,94.00576377,85.08524763,67.24421534,88.75739420679074,93.09813824115268,1.2562315596553295,0.0,0.0,1
2693,175328353,4567914192,25.85,26.75,25.6,22.015,48681,95.0830322,88.41784248,75.08746305,88.96438863985787,93.29313756390782,1.465710967568917,0.0,0.0,1
2694,251985575,6272130247,25.55,25.75,23.9,22.69,75589,87.4518045,88.09582982,89.38388046,69.31180644530069,63.26447279169983,1.6310138291627447,-75.00000000000003,-25.301204819277125,1
2695,183060819,4434568878,24.95,25.3,23.4,23.270000000000003,50002,80.72183792,85.63783252,95.46982172,66.24565094486347,58.92899189663174,1.749863061391889,-100.0,-30.487804878048784,1
2696,125179262,3076341107,24.5,25.15,23.85,23.88,33294,74.81193394,82.02919966,96.4637311,67.81194871040526,62.0498374067988,1.8357592600530568,-84.00000000000006,-32.06106870229009,1
2697,112620644,2690687481,24.35,24.4,23.45,24.25,29715,64.07215349,76.04351761,99.98624583,61.88882521845206,52.99012574590155,1.880348436354216,-100.0,-57.57575757575761,1
2698,186089645,4578080458,24.7,25.25,24.1,24.475,44060,57.00048328,69.6958395,95.08655193,64.1830431622368,57.90684279886017,1.900401246523676,-33.33333333333333,-47.47474747474751,0
2699,107845144,2629565265,24.25,24.8,23.7,24.764999999999997,27355,48.44808338,62.61325413,90.94359561,65.55169846853995,60.85464828425404,1.9044788622392597,0.0,-71.92982456140349,0
2700,97353661,2380884194,24.8,24.95,24.0,24.8,26479,38.76638395,54.6642974,86.46012431,62.0728272632786,54.72300042315364,1.8876073212630728,-49.99999999999978,-85.96491228070168,0
2701,144705439,3507445162,24.05,24.75,23.7,24.634999999999998,36658,35.79450472,48.37436651,73.53409008,63.91601524723583,59.05486665958829,1.8597714954571487,-6.250000000000084,-73.68421052631581,1
2702,128522014,3135352754,24.2,24.95,23.75,24.38,35483,29.53676201,42.09516501,67.211971,58.55033898609096,49.34328606169392,1.812711223314817,-100.0,-94.73684210526308,0
2703,108216835,2631347271,24.15,24.7,23.65,24.2,28750,42.49819222,42.22950741,41.6921378,63.59324311809807,60.913338111150765,1.766295856684615,0.0,0.0,1
2704,333847552,8551444893,25.0,26.6,24.6,24.339999999999996,88702,53.19985301,45.88628928,31.25916181,68.7111480885487,70.7213463616409,1.7362419865595882,0.0,0.0,1
2705,280446528,7445481461,26.3,27.05,26.0,24.61,79484,65.55916127,52.44391328,26.21341729,72.2251676849096,76.50881056526356,1.7284203866687249,0.0,0.0,1
2706,337575919,9675719510,27.8,29.35,27.7,25.105,91371,77.03944085,60.64242247,27.84838571,79.63358189582348,86.16886595545338,1.773283346835334,0.0,0.0,1
2707,426541374,12546751933,30.1,30.6,28.3,25.580000000000002,131365,74.14140181,65.14208225,47.14344312,72.05467786285433,73.21666611433344,1.8296178114694928,-20.430107526881773,-17.117117117117168,1
2708,401044402,11940340355,28.95,30.8,28.25,26.155,115855,78.56513034,69.61643161,51.71903415,76.01875598189443,79.15371611773335,1.9099508019851823,0.0,0.0,1
2709,438202690,13100326795,30.35,31.15,28.75,26.615,125843,76.37675356,71.86987226,62.85610966,69.84318037472612,68.78533731732163,1.9831999977056,-26.56249999999994,-13.934426229508167,1
2710,236685658,6691711526,29.4,29.65,27.75,27.01,79750,70.25116904,71.33030452,73.48857548,62.89982807187435,57.60076423939082,2.0268971134990093,-100.0,-31.147540983606547,1
2711,146312854,4157863270,28.2,28.85,28.1,27.415,46010,68.16744603,70.27601836,74.49316302,64.56073684100608,60.87272164104836,2.0523406617558377,-76.31578947368422,-23.770491803278684,1
2712,192450388,5377848334,28.75,28.9,27.05,27.77,60269,59.43987496,66.66397056,81.11216176,57.624129799762514,49.63667123981824,2.042781877604181,-100.0,-49.03846153846149,1
2713,143571698,3952943285,27.8,28.15,26.7,28.059999999999995,45814,49.98257036,61.10350383,83.34537076,58.73260424557352,52.05048493953996,2.0111180877443777,-85.29411764705883,-56.09756097560972,1
2714,264843070,7654812351,28.5,29.35,28.3,28.380000000000003,81167,50.55017799,57.58572855,71.65682966,64.45940941552352,63.73165470390067,1.9850116141450669,0.0,-28.12499999999996,1
2715,120763873,3453070496,28.95,29.0,28.3,28.555,37947,46.80873289,53.99339666,68.3627242,60.81249551671508,57.16630127722999,1.9504577314295724,-33.33333333333341,-56.86274509803925,1
2716,143160358,3981972641,28.45,28.85,27.15,28.35,46234,35.70020395,47.89566576,72.28658938,53.810325620584045,45.425042612434815,1.8896274819085537,-100.0,-100.0,1
2717,75233523,2096326591,27.7,28.2,27.45,28.28,23032,31.29077267,42.3607014,64.50055885,55.75934519505302,49.73418356350883,1.8175914600469207,-76.47058823529419,-84.61538461538466,1
2718,97414271,2762311026,27.85,28.75,27.75,28.135,30329,40.63452641,41.78530974,44.08687638,59.30132085238691,57.31706236659576,1.7501312778413611,-32.352941176470644,-34.28571428571437,1
2719,98096522,2742758181,28.75,28.9,27.5,27.98,32582,37.15257736,40.24106561,46.41804212,53.34999862316694,46.62575452532406,1.6699299191533077,-82.60869565217396,-88.2352941176471,0
2720,173370432,4443937052,27.1,27.15,24.9,27.755000000000003,54610,31.1354261,37.20585244,49.34670512,44.334356976644216,33.01340881392933,1.5542205896344543,-100.0,-100.0,0
2721,102178584,2700760026,26.05,26.85,25.85,27.57,28435,33.49103313,35.96757934,40.92067175,48.944148786068695,42.75455682740683,1.4323400966075197,-68.51851851851846,-73.84615384615381,1
2722,137052448,3663156636,27.1,27.8,25.9,27.459999999999997,41452,32.43971497,34.79162455,39.4954437,47.17467237185385,39.88840433861268,1.304132176294635,-81.48148148148148,-84.61538461538461,1
