X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J,Prediction_Result
2658,109/10/21,1278377,96874326,75.2,76.2,74.9,75.8,0.9,787,1,72.6,76.2,88.88888889,78.28501789,67.60233815,46.23697867,1
2659,109/10/22,706558,53523263,75.8,76.4,75.0,76.4,0.6,400,0,72.6,76.4,100.0,85.52334526,73.57600719,49.68133104,1
2660,109/10/23,339199,25687063,75.6,76.2,75.5,75.6,-0.8,302,0,72.6,76.4,78.94736842,83.33135298,76.82778912,63.82066139,1
2661,109/10/26,224412,16889945,75.6,75.9,75.0,75.0,-0.6,193,1,72.7,76.4,62.16216216,76.27495604,76.64351143,77.3806222,1
2662,109/10/27,409006,30720306,75.0,75.3,75.0,75.3,0.3,245,0,72.7,76.4,70.27027027,74.27339412,75.85347232,79.01362873,1
2663,109/10/28,346100,25754849,75.3,75.3,74.1,74.1,-1.2,284,0,73.7,76.4,14.81481481,54.45386768,68.72027078,97.25307696,1
2664,109/10/29,475507,34920264,74.0,74.0,73.0,73.7,-0.4,297,0,73.0,76.4,20.58823529,43.16532355,60.20195504,94.275218,1
2665,109/10/30,462500,33946200,73.7,73.8,73.0,73.4,-0.3,382,0,73.0,76.4,11.76470588,32.698451,51.03412036,87.70545907,0
2666,109/11/02,306000,22347600,73.1,73.4,72.9,73.0,-0.4,229,0,72.9,76.4,2.857142857,22.75134828,41.60652967,79.31689243,0
2667,109/11/03,395399,28960766,73.6,73.6,73.0,73.0,0,340,1,72.9,76.4,2.857142857,16.11994647,33.11100193,67.09311286,0
2668,109/11/04,222079,16327922,73.3,73.8,73.1,73.7,0.7,187,0,72.9,76.2,24.24242424,18.82743906,28.34981431,47.39456481,0
2669,109/11/05,228044,16760845,73.3,73.9,73.2,73.4,-0.3,211,1,72.9,75.9,16.66666667,18.1071816,24.93560341,38.59244702,0
2670,109/11/06,903510,67005290,73.5,74.6,73.5,73.8,0.4,558,1,72.9,75.3,37.5,24.5714544,24.8142204,25.29975242,0
2671,109/11/09,1369922,103680650,74.9,76.2,74.9,75.8,2,900,1,72.9,76.2,87.87878788,45.67389889,31.76744657,3.954541916,1
2672,109/11/10,1843848,140508910,76.1,76.9,75.2,76.0,0.2,1206,1,72.9,76.9,77.5,56.28259926,39.93916413,7.252293872,1
2673,109/11/11,915387,70071631,75.6,77.0,75.6,76.2,0.2,671,1,72.9,77.0,80.48780488,64.35100113,48.07644313,15.52732713,1
2674,109/11/12,2009353,154603731,76.2,77.5,75.9,76.9,0.7,1186,0,72.9,77.5,86.95652174,71.88617467,56.01302031,24.2667116,1
2675,109/11/13,724906,55258335,76.4,76.5,76.0,76.2,-0.7,517,0,73.0,77.5,71.11111111,71.62782015,61.21795359,40.39822047,1
2676,109/11/16,1118520,84972454,76.8,76.8,75.3,76.1,-0.1,748,1,73.1,77.5,68.18181818,70.47915283,64.30502,51.95675435,1
