X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10,Prediction_Result,Prediction_Result_0or1
2899,110/10/18,6064288,5275492160,862.0,878.0,860.0,867.0,10.0,7122,1,23.63440636,23.73168216,23.92623377,42.80664571,43.45519873,-9.846684017,-42.55319149,-61.97183099,871.4870259481038,1
2900,110/10/19,6912775,6172110128,877.0,900.0,872.0,898.0,31.0,8399,1,38.62448796,28.69595076,8.838876364,51.69871678,58.38189429,-10.37971282,0.0,-18.30985915,896.439121756487,1
2901,110/10/20,4559291,4130277207,910.0,918.0,901.0,901.0,3.0,5579,1,49.78066639,35.7241893,7.61123513,52.48510924,59.61977981,-10.3307409,0.0,-14.08450704,905.0379241516966,1
2902,110/10/21,6120161,5596723352,912.0,924.0,903.0,913.0,12.0,8635,1,61.86928147,44.43922003,9.579097138,55.66136636,64.66463793,-9.704550548,0.0,0.0,914.7125748502993,1
2903,110/10/22,4750886,4369613496,913.0,926.0,906.0,926.0,13.0,7063,1,74.57952098,54.48598701,14.29891907,58.93278386,69.60174241,-8.519870755,0.0,0.0,923.443113772455,1
2904,110/10/25,5842189,5448006760,928.0,944.0,916.0,938.0,12.0,8317,1,81.14825208,63.3734087,27.82372194,61.7950124,73.67588066,-6.836371974,0.0,0.0,934.9281437125749,1
2905,110/10/26,6475143,6130124961,951.0,952.0,940.0,946.0,8.0,8292,0,85.66225655,70.80302465,41.08456085,63.65274047,76.22503932,-4.785258101,0.0,0.0,945.6906187624751,1
2906,110/10/27,8154279,7711498281,949.0,958.0,932.0,942.0,-4.0,9452,0,85.63669956,75.74758295,55.96934974,61.99475873,72.03937677,-2.66416408,-12.12121212,-3.773584906,943.307385229541,0
2907,110/10/28,3849136,3599037910,942.0,947.0,927.0,936.0,-6.0,5982,0,82.94147318,78.14554636,68.55369273,59.44013824,65.5593921,-0.70005344,-50.0,-11.23595506,934.564870259481,0
2908,110/10/29,5549918,5098098677,938.0,939.0,913.0,913.0,-23.0,7640,1,71.18578832,75.82562701,85.1053044,50.6409513,46.37194563,0.69734513,-100.0,-41.7721519,914.8463073852296,0
2909,110/11/01,2963703,2736013975,925.0,930.0,917.0,922.0,9.0,3578,1,59.73789397,70.46304933,91.91336006,53.59766919,52.85151213,1.808285965,-72.72727273,-50.0,921.0518962075848,1
2910,110/11/02,2965080,2753908718,929.0,934.0,919.0,928.0,6.0,3534,1,54.9767778,65.30095882,85.94932087,55.55027084,57.00717127,2.773048332,-48.27586207,-40.0,925.8962075848303,1
2911,110/11/03,3089194,2885456706,934.0,939.0,929.0,932.0,4.0,3186,0,53.31785186,61.30658984,77.28406578,56.88086413,59.838998,3.653111756,-17.39130435,-42.42424242,931.7445109780439,1
