date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
99/01/04,28.68,1.82,2.68,3438540,323029609,94.50,95.00,93.30,93.50,-1.00,1767,-1
99/01/05,27.91,1.87,2.61,5550830,510151630,93.90,94.50,90.60,91.00,-2.50,3038,-1
99/01/06,27.82,1.87,2.60,7437021,673467170,91.00,91.90,89.40,90.70,-0.30,3595,-1
99/01/07,27.58,1.89,2.58,5728066,518008895,90.70,91.80,89.80,89.90,-0.80,3152,-1
99/01/08,27.76,1.88,2.60,4353117,391457573,90.00,90.80,89.10,90.50,+0.60,2359,1
99/01/11,28.99,1.80,2.71,12782714,1200105760,91.80,95.40,91.30,94.50,+4.00,5905,1
99/01/12,28.83,1.81,2.70,7136929,671587326,94.30,94.90,93.60,94.00,-0.50,2607,-1
99/01/13,28.56,1.83,2.67,5338689,502366726,93.80,95.30,93.10,93.10,-0.90,2571,-1
99/01/14,28.93,1.80,2.71,5460526,514196671,93.30,94.60,93.10,94.30,+1.20,2678,1
99/01/15,29.60,1.76,2.77,13489892,1309366049,94.40,99.00,94.40,96.50,+2.20,6044,1
99/01/18,30.67,1.70,2.87,13280945,1315363952,96.50,100.50,96.50,100.00,+3.50,5419,1
99/01/19,29.45,1.77,2.75,8017109,781090964,100.00,100.50,96.00,96.00,-4.00,3736,-1
99/01/20,29.05,1.80,2.72,7648547,726454028,96.00,96.50,93.80,94.70,-1.30,3844,-1
99/01/21,28.53,1.83,2.67,6435224,605765832,94.70,95.40,93.00,93.00,-1.70,2882,-1
99/01/22,27.52,1.90,2.57,8949546,816111363,92.40,93.50,89.50,89.70,-3.30,4540,-1
99/01/25,27.33,1.91,2.56,4003801,360933559,89.50,91.50,89.10,89.10,-0.60,2311,-1
99/01/26,25.61,2.04,2.40,9750936,833052138,89.50,90.10,82.90,83.50,-5.60,4956,-1
99/01/27,26.13,2.00,2.44,5442330,464836401,84.00,86.60,83.50,85.20,+1.70,3004,1
99/01/28,26.72,1.95,2.50,7839329,678723085,86.60,88.50,84.00,87.10,+1.90,3663,1
99/01/29,26.93,1.94,2.52,5559944,480054575,85.20,88.70,84.60,87.80,+0.70,2847,1
99/02/01,25.80,2.02,2.41,6957068,596698314,88.00,88.20,84.10,84.10,-3.70,2972,-1
99/02/02,25.71,2.03,2.40,4821347,408320648,86.40,86.40,83.00,83.80,-0.30,2626,-1
99/02/03,26.56,1.96,2.48,10686338,922166260,86.00,87.30,85.10,86.60,+2.80,5129,1
99/02/04,26.26,1.99,2.46,4897699,418327033,86.40,86.40,84.50,85.60,-1.00,2930,-1
99/02/05,24.63,2.12,2.30,11299844,917655748,82.50,82.80,79.70,80.30,-5.30,4943,-1
99/02/06,25.18,2.07,2.36,7557271,613373650,81.50,83.00,78.80,82.10,+1.80,3590,1
99/02/08,25.83,2.02,2.42,7919558,668345476,82.80,85.60,82.40,84.20,+2.10,4233,1
99/02/09,26.50,1.97,2.48,5414625,466473458,84.40,86.90,84.30,86.40,+2.20,2932,1
99/02/10,26.75,1.95,2.50,6539706,573071254,87.60,88.50,86.90,87.20,+0.80,3185,1
99/02/22,27.18,1.92,2.54,5492788,490997706,90.00,90.40,88.00,88.60,+1.40,2535,1
99/02/23,27.45,1.90,2.57,2923340,260223226,89.00,89.80,88.00,89.50,+0.90,1679,1
99/02/24,27.15,1.92,2.54,2577100,229785844,88.50,89.80,88.50,88.50,-1.00,1485,-1
99/02/25,26.41,1.97,2.47,4329000,379114500,89.70,89.70,85.50,86.10,-2.40,2141,-1
99/02/26,25.77,2.02,2.41,5646173,478915391,86.50,87.30,83.50,84.00,-2.10,3025,-1
99/03/01,26.60,1.96,2.49,6192339,534103484,84.00,88.30,83.30,86.70,+2.70,3048,1
99/03/02,26.72,1.95,2.50,4158720,364730806,88.00,88.70,87.00,87.10,+0.40,1901,1
99/03/03,26.66,1.96,2.49,2223718,192627885,87.50,87.80,86.00,86.90,-0.20,1364,-1
99/03/04,26.32,1.98,2.46,2714797,234365430,87.30,87.80,85.10,85.80,-1.10,1608,-1
99/03/05,26.47,1.97,2.48,3227428,278819123,87.30,87.40,85.70,86.30,+0.50,1784,1
99/03/08,26.81,1.95,2.51,2804733,244989758,87.20,87.80,86.80,87.40,+1.10,1627,1
99/03/09,26.99,1.93,2.53,5683706,502940728,87.40,89.50,87.40,88.00,+0.60,2739,1
99/03/10,26.69,1.95,2.50,3240665,284805085,88.80,89.30,87.00,87.00,-1.00,1780,-1
99/03/11,26.69,1.95,2.50,3949139,345212893,87.20,88.20,86.90,87.00,0.00,1931,-1
99/03/12,26.35,1.98,2.46,5004406,429529656,87.00,87.50,84.80,85.90,-1.10,2688,-1
99/03/15,26.07,2.00,2.44,2893467,247196533,85.70,86.50,85.00,85.00,-0.90,1591,-1
99/03/16,25.98,2.01,2.43,2279053,193336676,84.80,85.70,84.50,84.70,-0.30,1209,-1
99/03/17,26.38,1.98,2.47,4264850,364650000,85.40,86.30,84.90,86.00,+1.30,2067,1
99/03/18,26.01,2.00,2.43,13947586,1176241667,85.00,85.00,83.50,84.80,-1.20,6379,-1
99/03/19,25.80,2.02,2.41,10287978,866880640,84.80,84.90,83.80,84.10,-0.70,4190,-1
99/03/22,25.86,2.02,2.42,6877208,582810389,83.90,85.30,83.90,84.30,+0.20,3032,1
99/03/23,25.49,2.05,2.38,8834006,741826187,84.50,85.00,83.10,83.10,-1.20,3876,-1
99/03/24,25.80,2.02,2.41,5689877,479572844,83.50,84.80,83.40,84.10,+1.00,2653,1
99/03/25,25.92,2.01,2.42,2804230,236787528,84.00,85.30,83.60,84.50,+0.40,1783,1
99/03/26,25.71,2.03,2.40,5840649,490667216,84.50,84.70,83.50,83.80,-0.70,2769,-1
99/03/29,25.92,2.01,2.42,6714789,570044265,84.00,85.70,83.80,84.50,+0.70,3324,1
99/03/30,25.95,2.01,2.43,8104263,690133832,85.20,85.80,84.60,84.60,+0.10,2975,1
99/03/31,26.29,1.98,2.46,9036533,779229762,85.20,87.50,84.80,85.70,+1.10,4131,1
99/04/01,26.41,1.97,2.47,8081933,701198019,86.20,87.40,86.10,86.10,+0.40,3625,1
99/04/02,27.30,1.91,2.55,14530994,1280435666,86.90,89.90,86.50,89.00,+2.90,5737,1
99/04/06,27.30,1.91,2.55,8726771,783366619,89.60,90.70,88.70,89.00,0.00,4454,-1
99/04/07,26.99,1.93,2.53,6839941,603123208,90.00,90.00,87.90,88.00,-1.00,2835,-1
99/04/08,26.20,1.99,2.45,8224055,708288073,88.10,88.10,84.70,85.40,-2.60,4080,-1
99/04/09,26.44,1.97,2.47,4171440,355781822,85.00,86.40,84.80,86.20,+0.80,2231,1
99/04/12,26.50,1.97,2.48,3057069,264274950,86.70,86.70,86.00,86.40,+0.20,1228,1
99/04/13,25.92,2.01,2.42,3086504,262402227,86.00,86.00,84.00,84.50,-1.90,1699,-1
99/04/14,26.01,2.00,2.43,3043011,256915119,85.40,85.40,83.90,84.80,+0.30,1442,1
99/04/15,26.53,1.97,2.48,6901815,597185788,86.00,87.20,85.60,86.50,+1.70,3585,1
99/04/16,26.07,2.00,2.44,3528784,301497340,86.50,86.50,84.80,85.00,-1.50,2072,-1
99/04/19,25.15,2.07,2.35,4945944,411940376,83.60,84.60,81.10,82.00,-3.00,2647,-1
99/04/20,25.37,2.06,2.37,3448998,284753623,82.40,83.10,81.80,82.70,+0.70,1975,1
99/04/21,25.89,2.01,2.42,7657219,648957071,83.90,85.70,83.90,84.40,+1.70,3634,1
99/04/22,25.89,2.01,2.42,4687458,394858044,83.80,85.10,83.30,84.40,0.00,2725,-1
99/04/23,26.07,2.00,2.44,4150884,353103140,85.50,85.50,84.60,85.00,+0.60,1856,1
99/04/26,26.17,1.99,2.45,3896140,332965600,85.50,86.10,84.90,85.30,+0.30,1941,1
99/04/27,26.20,1.99,2.45,4303312,369370031,85.40,86.50,85.30,85.40,+0.10,2041,1
99/04/28,26.01,2.00,2.43,2693145,227070861,83.10,84.90,83.10,84.80,-0.60,1495,-1
99/04/29,26.72,4.54,2.34,7659083,663093516,85.80,87.40,85.60,87.10,+2.30,3999,1
99/04/30,16.80,4.61,2.30,8382923,726697018,87.30,87.60,85.70,85.70,-1.40,3742,-1
99/05/03,16.27,4.76,2.23,7965227,662631141,85.30,85.30,82.10,83.00,-2.70,4137,-1
99/05/04,16.10,4.81,2.21,5737032,474760718,83.10,83.80,81.60,82.10,-0.90,2759,-1
99/05/05,15.33,5.05,2.10,9589279,758809158,80.00,80.50,78.10,78.20,-3.90,4664,-1
99/05/06,14.75,5.25,2.02,6602453,506217864,78.20,79.00,74.60,75.20,-3.00,3403,-1
99/05/07,15.08,5.14,2.07,8252592,620762397,73.00,78.50,72.50,76.90,+1.70,3905,1
99/05/10,15.02,5.16,2.06,3590217,274331637,77.40,77.40,75.60,76.60,-0.30,1938,-1
99/05/11,14.71,5.27,2.02,6224303,475322025,76.60,78.00,75.00,75.00,-1.60,3255,-1
99/05/12,14.57,5.32,2.00,2557283,191848225,75.20,75.90,74.20,74.30,-0.70,1509,-1
99/05/13,14.92,5.19,2.04,4644424,352970257,75.20,76.70,75.20,76.10,+1.80,2209,1
99/05/14,15.06,5.14,2.06,3274312,251847552,76.60,77.60,76.00,76.80,+0.70,1926,1
99/05/17,14.65,5.29,2.01,2960759,222215425,75.80,76.00,74.30,74.70,-2.10,1820,-1
99/05/18,14.51,5.34,1.99,2894649,214221013,74.00,75.40,73.30,74.00,-0.70,1536,-1
99/05/19,14.41,5.37,1.97,4515407,331497718,73.50,74.10,72.70,73.50,-0.50,2232,-1
99/05/20,13.90,5.57,1.90,5709762,411952364,73.70,74.00,70.50,70.90,-2.60,3089,-1
99/05/21,13.84,5.59,1.90,5635971,392814741,69.00,70.60,68.80,70.60,-0.30,2708,-1
99/05/24,14.12,5.49,1.93,2339317,168253324,71.10,72.60,71.10,72.00,+1.40,1410,1
99/05/25,13.71,5.65,1.88,3497102,245173660,71.10,72.00,68.60,69.90,-2.10,1899,-1
99/05/26,13.73,5.64,1.88,4130388,291092960,71.80,71.90,70.00,70.00,+0.10,1851,1
99/05/27,14.69,5.27,2.01,4860460,355143051,70.60,74.90,70.20,74.90,+4.90,2571,1
99/05/28,14.90,5.20,2.04,6268376,480428276,76.20,77.80,76.00,76.00,+1.10,3341,1
99/05/31,15.20,5.10,2.08,4008499,308863568,76.00,77.90,75.40,77.50,+1.50,1992,1
99/06/01,14.90,5.20,2.04,4210246,324997618,77.30,78.00,76.00,76.00,-1.50,2340,-1
99/06/02,14.61,5.30,2.00,3485389,263816980,76.00,76.80,74.50,74.50,-1.50,1953,-1
99/06/03,14.96,5.18,2.05,2412378,183242835,76.70,76.70,75.20,76.30,+1.80,1388,1
99/06/04,14.86,5.21,2.04,1938883,148329494,76.50,77.30,75.80,75.80,-0.50,1146,-1
99/06/07,14.92,5.19,2.04,4568824,340071987,73.40,77.00,72.80,76.10,+0.30,2473,1
99/06/08,14.69,5.27,2.01,3601040,272905620,76.00,76.70,74.80,74.90,-1.20,1687,-1
99/06/09,14.04,5.52,1.92,4394439,320399808,74.50,74.90,71.50,71.60,-3.30,2237,-1
99/06/10,14.25,5.43,1.95,6124583,436460939,72.70,72.70,70.00,72.70,+1.10,2761,1
99/06/11,14.24,5.44,1.95,7862187,570977051,73.80,74.10,71.60,72.60,-0.10,3125,-1
99/06/14,14.22,5.45,1.95,4803795,346653813,72.60,72.90,71.60,72.50,-0.10,1967,-1
99/06/15,14.31,5.41,1.96,6192148,454707304,72.60,74.50,72.50,73.00,+0.50,3172,1
99/06/17,14.12,5.49,1.93,9271198,664453610,72.00,72.10,71.00,72.00,-1.00,4418,-1
99/06/18,14.02,5.52,1.92,6140770,436573354,71.90,72.10,70.60,71.50,-0.50,3039,-1
99/06/21,14.12,5.49,1.93,4085171,293976119,72.30,72.40,71.60,72.00,+0.50,2205,1
99/06/22,14.43,5.37,1.98,5736719,420521655,72.40,73.70,72.00,73.60,+1.60,2988,1
99/06/23,14.43,5.37,1.98,4261907,313982150,73.60,74.10,72.80,73.60,0.00,1927,-1
99/06/24,14.39,5.38,1.97,2399872,176632736,73.60,74.10,73.10,73.40,-0.20,1155,-1
99/06/25,14.06,5.51,1.93,4246596,306218424,72.90,73.00,71.70,71.70,-1.70,1817,-1
99/06/28,14.00,5.53,1.92,3096250,221999974,72.20,72.80,71.00,71.40,-0.30,1360,-1
99/06/29,14.00,5.53,1.92,4502808,323416886,72.20,72.60,71.30,71.40,0.00,2227,-1
99/06/30,13.94,5.56,1.91,4030886,285372492,70.20,71.30,70.00,71.10,-0.30,1801,-1
99/07/01,13.75,5.63,1.88,4647490,327673741,71.10,71.10,70.00,70.10,-1.00,1985,-1
99/07/02,14.04,5.52,1.92,2084663,148776467,70.70,71.70,70.30,71.60,+1.50,1080,1
99/07/05,14.20,5.46,1.95,3225966,232123542,71.60,72.40,71.40,72.40,+0.80,1367,1
99/07/06,14.45,5.36,1.98,4139028,302269853,71.60,73.70,71.50,73.70,+1.30,1998,1
99/07/07,14.22,5.45,1.95,2159568,157390274,73.70,73.70,72.50,72.50,-1.20,1099,-1
99/07/08,14.35,5.40,1.97,4147955,305663900,73.40,74.30,73.10,73.20,+0.70,2193,1
99/07/09,15.35,5.04,2.10,14739457,1134034068,74.30,78.30,73.80,78.30,+5.10,6203,1
99/07/12,15.27,5.07,2.09,9554332,756442254,78.80,80.40,77.90,77.90,-0.40,4781,-1
99/07/13,15.18,5.10,2.08,6915919,543268027,79.20,80.10,77.40,77.40,-0.50,3374,-1
99/07/14,15.73,4.93,2.15,9434862,752673317,79.40,80.50,78.60,80.20,+2.80,4676,1
99/07/15,15.49,5.00,2.12,6198432,493512328,80.20,80.70,78.80,79.00,-1.20,2631,-1
99/07/16,15.33,5.05,2.10,4936505,387370787,79.20,79.90,77.70,78.20,-0.80,2427,-1
99/07/19,15.29,5.06,2.10,2819142,218608976,77.90,78.10,77.00,78.00,-0.20,1570,-1
99/07/20,15.61,4.96,2.14,4972480,395202601,78.50,80.50,78.00,79.60,+1.60,2423,1
99/07/21,15.37,5.04,2.11,4041399,319729922,80.00,80.40,78.10,78.40,-1.20,1882,-1
99/07/22,15.16,5.11,2.08,4148893,322236004,78.40,78.80,77.30,77.30,-1.10,2016,-1
99/07/23,15.37,5.04,2.11,2747816,215282166,78.60,78.80,77.80,78.40,+1.10,1468,1
99/07/26,15.51,4.99,2.13,4060427,321361380,79.40,79.40,78.80,79.10,+0.70,1776,1
99/07/27,15.22,5.09,2.08,3757313,293790552,79.30,79.70,77.60,77.60,-1.50,2217,-1
99/07/28,15.25,5.08,2.09,2776982,216038785,77.60,78.20,77.40,77.80,+0.20,1458,1
99/07/29,14.22,5.45,1.95,16506408,1216364314,76.50,76.50,72.40,72.50,-5.30,8293,-1
99/07/30,14.33,5.40,1.96,4903416,356058397,72.40,73.40,71.60,73.10,+0.60,2647,1
99/08/02,14.41,5.37,1.97,4247871,311059431,73.70,73.80,72.60,73.50,+0.40,2149,1
99/08/03,14.33,5.40,1.96,4028195,296801836,74.80,74.80,73.00,73.10,-0.40,2058,-1
99/08/04,14.37,5.39,1.97,1909791,139972968,73.90,73.90,72.90,73.30,+0.20,1149,1
99/08/05,14.16,5.47,1.94,3441216,250536206,73.30,73.70,72.00,72.20,-1.10,1944,-1
99/08/06,14.27,5.43,1.96,2578716,187852606,71.90,73.40,71.80,72.80,+0.60,1533,1
99/08/09,14.35,5.40,1.97,1597171,117174693,72.80,73.60,72.80,73.20,+0.40,990,1
99/08/10,14.31,5.41,1.96,2563034,187501582,73.70,73.70,72.80,73.00,-0.20,1117,-1
99/08/11,14.35,5.40,1.97,1643909,119734853,72.50,73.40,72.30,73.20,+0.20,1103,1
99/08/12,14.43,5.37,1.98,2536803,186705198,72.70,74.20,72.70,73.60,+0.40,1313,1
99/08/13,14.51,5.34,1.99,2208101,163599644,73.90,74.40,73.70,74.00,+0.40,1255,1
