X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10
0,1999/1/4,11443651,172445197,15.2,15.3,14.95,15.0,0.0,2463,-1,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
1,1999/1/5,13477528,201112862,15.1,15.2,14.7,14.75,-0.25,2729,1,36.11111111,45.37037037,63.88888889,0.0,0.0,-0.00311609686609593,0.0,0.0
2,1999/1/6,14528276,215244881,14.85,15.0,14.7,15.0,0.25,2942,-1,40.74074074,43.82716049,50.0,9.090909090909092,16.666666666666664,-0.0015908365111806724,0.0,0.0
3,1999/1/7,32503673,496272695,15.0,15.55,15.0,15.0,0.0,6369,-1,38.92519971,42.19317357,48.72912128,9.090909090909092,16.666666666666664,0.0001056461894158151,0.0,0.0
4,1999/1/8,11227270,167977475,15.3,15.3,14.7,14.95,-0.05000000000000071,2338,1,35.75405471,40.04680061,48.63229242,8.895214374666427,15.903307888040702,0.000931973869551426,-20.000000000000284,0.0
5,1999/1/11,15124382,229008391,15.1,15.25,15.0,15.0,0.05000000000000071,3045,1,35.60074235,38.56478119,44.49285887,11.002589457951748,20.284611673902596,0.001938790658345974,0.0,0.0
6,1999/1/12,17314568,265308850,15.2,15.5,15.2,15.25,0.25,3598,-1,45.30245569,40.81067269,31.8271067,21.04715432113043,39.26865123116502,0.005756050715318223,0.0,0.0
7,1999/1/13,8637143,129964445,15.15,15.2,14.95,15.0,-0.25,2045,1,41.96634301,41.19589613,39.65500238,18.72272902136147,30.54078774366891,0.007534696238817112,-83.33333333333314,0.0
8,1999/1/14,21362091,327348810,15.1,15.45,15.0,15.25,0.25,4056,1,49.54618946,43.97932724,32.8456028,27.526959000746665,45.1657595696479,0.011034239249973085,0.0,0.0
9,1999/1/15,50197285,806680239,15.7,16.3,15.6,16.3,1.0500000000000007,9156,1,66.3641263,51.44092693,21.59452817,51.699261183964595,73.39688566762881,0.02720280933609447,0.0,0.0
10,1999/1/18,53357184,899451726,16.3,17.35,16.25,17.15,0.8499999999999979,11026,-1,75.06036093,59.3140716,27.82149292,62.75979140422605,82.26618641447399,0.0586739141861994,0.0,0.0
11,1999/1/19,33409321,564853957,17.3,17.65,16.3,17.0,-0.14999999999999858,7124,1,76.02894119,64.88569479,42.599202,60.088751525805705,76.84113041885892,0.09436768369086629,-6.97674418604645,-6.818181818181755
12,1999/1/20,27115146,460145382,17.1,17.5,16.5,17.4,0.3999999999999986,5190,-1,81.19443537,70.32194165,48.57695422,64.51834768521434,80.87662968905708,0.13458883326904134,0.0,0.0
13,1999/1/21,20367185,345974119,17.4,17.4,16.65,16.9,-0.5,4380,-1,78.20369765,72.94919365,62.44018565,55.976065941047956,64.11761338023662,0.16842127786141886,-45.45454545454554,-20.40816326530613
14,1999/1/22,29782514,494577151,16.4,16.85,16.35,16.6,-0.29999999999999716,6276,-1,72.50616881,72.8015187,73.3922185,51.47771007206514,55.79344005275881,0.19231733439454174,-100.0,-33.333333333333236
15,1999/1/25,13649913,224275471,16.3,16.75,16.15,16.15,-0.45000000000000284,3257,-1,63.15226068,69.58509936,82.45077672,45.45101807002163,45.22492191781954,0.20280271513494819,-100.0,-52.08333333333336
16,1999/1/26,24208985,374912198,16.3,16.4,15.05,15.3,-0.8499999999999979,4917,-1,45.87509203,61.68176359,93.2951067,36.55812964742735,31.640045000336197,0.1933932625353818,-100.0,-87.49999999999997
17,1999/1/27,11427397,172447155,15.3,15.4,14.8,15.0,-0.3000000000000007,2630,1,32.92257597,52.09536771,90.4409512,33.97716872661271,28.0690505158254,0.16821407417197629,-100.0,-100.0
18,1999/1/28,12107044,187914514,15.45,15.75,15.25,15.7,0.6999999999999993,2776,-1,32.47469977,45.55514507,71.71603566,44.10546265499719,45.341919962411055,0.14360103068006244,-56.25000000000008,-70.83333333333334
19,1999/1/29,11804670,179412082,15.3,15.45,15.05,15.1,-0.5999999999999996,2925,-1,25.15857178,38.7562873,65.95171836,38.5321737378755,36.36103073533559,0.11244957595065797,-91.30434782608697,-95.83333333333334
20,1999/2/1,9103208,136383733,15.1,15.2,14.8,14.8,-0.29999999999999893,2185,-1,16.77238118,31.4283186,60.74019342,36.028228787208754,32.49880163984781,0.07474339871937015,-100.0,-100.0
21,1999/2/2,28255412,403813963,15.0,15.2,13.8,13.9,-0.9000000000000004,5371,1,12.10751338,24.98805019,50.74912381,29.666423184446494,23.5091737992733,0.022738842667433114,-100.0,-100.0
22,1999/2/3,20685363,298132965,14.1,14.85,13.95,14.85,0.9499999999999993,5350,-1,19.54708542,23.17439527,30.42901496,41.633198980925194,43.35598494642679,-0.022313826477487177,-47.22222222222223,-68.33333333333333
23,1999/2/4,8768208,128958886,14.95,14.95,14.55,14.6,-0.25,2504,-1,22.07093831,22.80657628,24.27785223,39.67893363506616,40.072566784801936,-0.0640196233221495,-41.66666666666669,-74.07407407407412
24,1999/2/5,14111122,195002358,13.7,14.2,13.6,13.6,-1.0,3120,1,14.71395887,20.10903714,30.89919369,32.886646778813194,29.389236046313925,-0.11519915416498543,-100.0,-100.0
25,1999/2/6,9728394,134664866,13.7,14.4,13.2,13.95,0.34999999999999964,2658,1,19.61322748,19.94376726,20.60484681,37.03625690452305,36.499503302394736,-0.1643059127077717,-72.00000000000003,-83.33333333333334
26,1999/2/8,6634591,94479164,14.3,14.4,13.95,14.25,0.3000000000000007,1863,1,26.80097518,22.22950323,13.08655933,40.50464217255694,42.45921503086581,-0.20484191998788254,-47.99999999999997,-69.04761904761902
27,1999/2/9,8882825,129938382,14.35,14.85,14.25,14.85,0.5999999999999996,2470,-1,42.31176123,28.92358923,2.147245232,46.93542925751639,53.03740693472031,-0.22879859612609582,0.0,-40.47619047619047
28,1999/2/10,10973706,162583674,15.05,15.15,14.6,14.6,-0.25,2932,1,51.54117416,36.46278421,6.30600431,44.71996888564678,48.57265337786431,-0.2442213785052675,-20.0,-33.33333333333333
29,1999/2/22,7663872,114148894,15.1,15.1,14.65,14.75,0.15000000000000036,1999,-1,60.1941161,44.37322817,12.73145231,46.39010580947473,51.511560830321216,-0.2507509622450022,-11.111111111111068,-7.999999999999971
30,1999/2/23,3470220,50941037,14.7,14.8,14.6,14.7,-0.05000000000000071,1000,-1,65.77043638,51.50563091,22.97601997,45.88183402815502,50.36038716974526,-0.25153282494680135,-25.00000000000007,-12.000000000000028
31,1999/2/24,6068470,87892311,14.55,14.7,14.4,14.4,-0.29999999999999893,1689,-1,64.3597781,55.79034664,38.65148372,42.78773726368516,43.38029534883912,-0.252520892636239,-100.0,-35.99999999999994
32,1999/2/25,7398591,104602324,14.45,14.55,13.8,13.95,-0.45000000000000107,2099,1,55.72703155,55.76924161,55.85366172,38.50346661307793,34.71853806401648,-0.25967053884761815,-100.0,-72.00000000000003
33,1999/2/26,3956965,55163292,14.0,14.1,13.8,14.05,0.10000000000000142,1278,1,51.6812689,54.40658404,59.85721432,39.97268603330156,38.01875532192452,-0.2682046398537262,-87.49999999999983,-63.999999999999915
34,1999/3/1,7501114,108174794,14.05,14.65,14.05,14.6,0.5499999999999989,1946,-1,54.20726569,54.34014459,54.60590239,47.55337908769135,53.52525061057718,-0.26829902118814675,-13.333333333333286,-27.777777777777768
35,1999/3/2,3904066,56746530,14.75,14.75,14.4,14.4,-0.1999999999999993,1065,-1,50.95299194,53.2110937,57.72729724,45.266732036742326,48.25704589140536,-0.2654996261086444,-30.769230769230642,-49.9999999999999
36,1999/3/3,3939502,56573339,14.4,14.5,14.25,14.3,-0.09999999999999964,986,-1,46.3143403,50.9121759,60.1078471,44.100397996399934,45.566146349652186,-0.26193712623578197,-46.15384615384596,-61.11111111111097
37,1999/3/4,3768414,53809293,14.3,14.45,14.1,14.15,-0.15000000000000036,1079,1,39.85058584,47.22497922,61.97376596,42.30198870446671,41.40979426026728,-0.2597581246945829,-81.81818181818184,-74.99999999999989
