data,volume,price,open,high,low,close,diff,times,result
101/01/02,2898190,126404774,44.25,44.35,43.30,43.30,-0.95,1229,0
101/01/03,4557850,199532488,43.70,44.00,43.40,43.65,+0.35,1868,1
101/01/04,3827891,167511774,44.00,44.00,43.65,43.80,+0.15,1507,1
101/01/05,12856773,557748828,43.50,43.95,43.00,43.95,+0.15,3711,1
101/01/06,10276632,451072191,43.90,44.40,43.45,44.40,+0.45,3130,1
101/01/09,8589551,380449105,44.30,44.50,43.70,44.50,+0.10,2822,1
101/01/10,14615534,659050517,44.70,45.50,44.70,45.50,+1.00,5716,1
101/01/11,12536868,567975098,45.50,45.70,44.85,45.65,+0.15,4923,1
101/01/12,16700432,760539693,45.65,45.70,45.00,45.70,+0.05,4419,1
101/01/13,19597646,895995470,45.70,45.95,45.00,45.70,0.00,3955,0
101/01/16,7414292,334525067,45.70,45.80,44.50,45.45,-0.25,2803,0
101/01/17,9327115,421180091,45.45,45.45,45.00,45.30,-0.15,2792,0
101/01/18,19021449,853008224,45.20,45.60,44.15,45.60,+0.30,6031,1
101/01/30,13764226,622296147,46.00,46.00,44.30,44.55,-1.05,4908,0
101/01/31,22337009,975186187,44.60,44.80,42.80,43.70,-0.85,8322,0
101/02/01,20279089,872857646,43.50,43.60,42.70,43.20,-0.50,6315,0
101/02/02,18598003,801118128,43.50,43.55,42.75,43.10,-0.10,6181,0
101/02/03,15069680,641125743,43.10,43.10,42.10,42.35,-0.75,6358,0
101/02/04,12943656,554497049,42.50,43.20,42.40,42.75,+0.40,4595,1
101/02/06,23162208,1000454575,42.90,43.70,42.45,43.70,+0.95,7345,1
101/02/07,9781067,424966950,43.70,44.00,43.05,43.05,-0.65,3919,0
101/02/08,27633048,1216828126,43.50,45.20,42.95,45.05,+2.00,8577,1
101/02/09,10993380,490898659,45.00,45.00,44.40,44.85,-0.20,4070,0
101/02/10,14277824,628045872,44.70,44.75,43.70,43.85,-1.00,4208,0
101/02/13,10879808,481777839,43.90,44.50,43.90,44.40,+0.55,3608,1
101/02/14,9349269,412008486,44.05,44.40,44.00,44.10,-0.30,2571,0
101/02/15,16177980,712678709,44.15,44.50,43.75,44.45,+0.35,4281,1
101/02/16,16134004,701999579,43.85,43.90,43.15,43.65,-0.80,4846,0
101/02/17,8252324,359322436,43.65,43.95,43.25,43.40,-0.25,3209,0
101/02/20,8379911,362911619,43.90,43.95,43.05,43.10,-0.30,3301,0
101/02/21,10191964,441505000,43.10,43.90,43.00,43.90,+0.80,3101,1
101/02/22,7310839,321547741,43.90,44.20,43.60,44.10,+0.20,2711,1
101/02/23,5906560,256591876,43.80,43.80,43.30,43.50,-0.60,2306,0
101/02/24,7146129,310805188,43.75,43.80,43.15,43.80,+0.30,2433,1
101/02/29,20402936,913165357,43.90,45.30,43.90,45.05,+1.25,6907,1
101/03/01,8235938,368662322,45.00,45.10,44.30,44.50,-0.55,2999,0
101/03/02,6397798,285752010,44.70,45.05,44.35,44.50,0.00,2023,0
101/03/03,3184845,141234828,44.15,44.80,44.15,44.20,-0.30,1358,0
101/03/05,8340524,361931872,44.00,44.20,43.20,43.25,-0.95,3500,0
101/03/06,11025735,470616305,43.05,43.35,42.40,43.00,-0.25,3283,0
101/03/07,9485359,401722268,42.35,42.80,42.00,42.20,-0.80,3168,0
101/03/08,8868848,376674614,42.40,42.85,42.20,42.85,+0.65,3393,1
101/03/09,3770181,160720472,42.85,42.85,42.35,42.65,-0.20,1854,0
101/03/12,3964656,167667064,42.85,42.85,42.15,42.15,-0.50,1724,0
101/03/13,6342697,272043957,42.70,43.15,42.50,42.95,+0.80,2919,1
