data,volume,price,open,high,low,close,diff,times,result
99/01/04,23703729,3595337079,152.00,152.50,150.50,151.50,0.00,8837,0
99/01/05,34765658,5324004837,153.50,155.50,151.50,152.50,+1.00,11664,1
99/01/06,28645356,4355698806,152.50,153.00,151.50,151.50,-1.00,10627,0
99/01/07,28165060,4235768847,151.50,152.50,148.50,150.00,-1.50,13210,0
99/01/08,23525808,3509206200,150.00,151.00,147.00,150.50,+0.50,9262,1
99/01/11,24077820,3577830660,148.00,150.00,148.00,148.50,-2.00,9913,0
99/01/12,34028302,5040237196,148.50,149.50,147.50,148.00,-0.50,13669,0
99/01/13,32014362,4668400352,146.00,147.00,145.00,145.50,-2.50,16473,0
99/01/14,23761647,3527777753,146.00,150.00,146.00,149.50,+4.00,10953,1
99/01/15,28782527,4363209194,151.50,153.00,150.00,152.50,+3.00,12683,1
99/01/18,15578080,2353963425,151.00,152.00,150.00,151.00,-1.50,6998,0
99/01/19,18169884,2716239216,151.50,152.00,148.00,149.00,-2.00,8481,0
99/01/20,27558993,4074245536,150.00,150.00,147.00,147.50,-1.50,10886,0
99/01/21,27348926,3986065196,145.50,147.00,145.00,146.00,-1.50,12679,0
99/01/22,74138933,10351898053,141.00,142.00,137.00,138.00,-8.00,37182,0
99/01/25,34306257,4736590480,136.00,140.00,135.50,139.50,+1.50,16333,1
99/01/26,38759693,5348058602,141.00,141.00,135.50,136.50,-3.00,17226,0
99/01/27,37632431,5079487685,137.00,137.50,133.00,133.00,-3.50,19074,0
99/01/28,32485864,4442201237,136.00,139.00,134.00,136.00,+3.00,12882,1
99/01/29,37759936,5026332101,133.50,134.50,131.50,134.50,-1.50,16269,0
99/02/01,24995571,3293595443,133.00,134.50,130.00,131.50,-3.00,11274,0
99/02/02,34335376,4622569384,135.00,136.00,133.50,134.00,+2.50,14185,1
99/02/03,22417316,3061389108,136.50,138.00,135.00,138.00,+4.00,11099,1
99/02/04,15211055,2075685090,138.00,138.00,135.50,136.50,-1.50,6931,0
99/02/05,27183874,3603409106,133.00,133.50,132.00,132.50,-4.00,14799,0
99/02/06,13776987,1848033245,134.00,135.50,132.50,135.00,+2.50,7742,1
99/02/08,22148468,2993603160,135.50,136.50,134.00,134.00,-1.00,9469,0
99/02/09,31537621,4220720835,133.00,135.00,132.50,133.50,-0.50,13881,0
99/02/10,28191042,3805005128,135.00,136.50,133.50,134.50,+1.00,13019,1
99/02/22,33147649,4509746515,138.00,138.00,133.50,134.50,0.00,14159,0
99/02/23,24297982,3249625570,134.50,135.50,133.00,134.50,0.00,10540,0
99/02/24,18557325,2469478759,134.00,134.00,132.50,132.50,-2.00,9626,0
99/02/25,53697591,6939874598,133.00,133.00,127.00,128.00,-4.50,26844,0
99/02/26,30789904,3933088212,126.00,130.00,126.00,127.00,-1.00,13615,0
99/03/01,26744368,3493394308,130.50,132.00,128.50,130.50,+3.50,10511,1
99/03/02,39569393,5283959769,133.00,135.00,132.00,133.00,+2.50,14849,1
99/03/03,15501127,2064174417,134.00,134.00,132.50,133.50,+0.50,6608,1
99/03/04,21212411,2829117831,135.00,135.00,132.00,133.50,0.00,7299,0
99/03/05,18027132,2418008188,135.00,135.00,133.00,134.00,+0.50,5626,1
99/03/08,29916506,4064612011,136.00,137.50,134.50,137.50,+3.50,12262,1
99/03/09,24859645,3417739530,137.50,138.50,136.50,138.00,+0.50,9272,1
99/03/10,15566079,2145058402,138.00,138.50,137.00,138.00,0.00,6436,0
99/03/11,22677780,3140581818,139.50,139.50,137.50,137.50,-0.50,8530,0
99/03/12,18370303,2508913416,138.00,138.00,135.50,137.50,0.00,6930,0
99/03/15,15874305,2154789478,138.00,138.00,134.00,134.00,-3.50,7501,0
99/03/16,18490806,2513353222,136.00,137.00,134.50,137.00,+3.00,6830,1
99/03/17,33219524,4605225336,138.50,139.50,137.50,139.50,+2.50,14251,1
99/03/18,22215001,3091299002,140.00,140.00,138.50,139.50,0.00,8246,0
99/03/19,12121567,1684476813,139.50,139.50,138.00,139.50,0.00,5062,0
99/03/22,9661366,1326301642,138.50,138.50,136.50,137.00,-2.50,5410,0
99/03/23,10599628,1463598104,138.00,139.00,137.50,138.00,+1.00,3905,1
99/03/24,18015180,2485680015,138.50,139.50,136.50,136.50,-1.50,6180,0
99/03/25,34678367,4682596100,135.50,136.50,134.00,136.50,0.00,13620,0
99/03/26,30778084,4152022850,135.50,136.50,134.00,134.50,-2.00,12785,0
99/03/29,18897396,2588591752,136.50,137.50,136.00,137.50,+3.00,8392,1
99/03/30,19460946,2688862048,138.50,139.00,137.50,138.50,+1.00,7573,1
99/03/31,12125999,1675825322,138.50,139.00,137.50,137.50,-1.00,5627,0
99/04/01,28971985,4037859040,138.50,140.00,138.00,140.00,+2.50,13452,1
99/04/02,12999076,1815353047,140.00,141.00,139.00,139.50,-0.50,5263,0
99/04/06,32999258,4720661894,140.50,144.50,140.50,143.50,+4.00,15560,1
99/04/07,19823042,2853702446,145.00,145.00,142.50,144.50,+1.00,9023,1
99/04/08,27154322,3891167823,144.00,145.00,142.00,142.50,-2.00,8778,0
99/04/09,24084596,3455565824,142.50,145.00,142.00,144.50,+2.00,9999,1
99/04/12,21947854,3163168166,145.00,145.50,143.00,144.50,0.00,6813,0
99/04/13,21488065,3061387075,143.50,143.50,141.00,141.00,-3.50,8071,0
99/04/14,13233088,1877975576,142.00,143.00,141.00,142.00,+1.00,5488,1
99/04/15,20064945,2872564135,143.50,144.50,142.00,143.50,+1.50,8520,1
99/04/16,18729699,2643811559,143.50,143.50,140.00,141.00,-2.50,9013,0
99/04/19,31241052,4310657624,139.00,140.00,136.50,136.50,-4.50,14804,0
99/04/20,18297323,2521893199,138.00,139.00,137.00,138.50,+2.00,7081,1
99/04/21,21252293,2966475227,140.00,140.50,138.50,139.00,+0.50,8072,1
99/04/22,30989310,4374320520,139.00,143.00,138.50,142.50,+3.50,12817,1
99/04/23,40384756,5826953084,144.00,145.00,143.00,144.50,+2.00,16567,1
99/04/26,46218465,6813918065,146.00,148.00,146.00,148.00,+3.50,20866,1
99/04/27,46204099,6897230332,149.00,150.00,148.00,149.50,+1.50,18976,1
99/04/28,62952509,9457979368,146.00,153.50,145.50,153.00,+3.50,25332,1
99/04/29,43459869,6631706299,153.00,154.50,151.00,152.00,-1.00,16055,0
99/04/30,48325546,7286660765,150.00,153.50,148.50,148.50,-3.50,16564,0
99/05/03,19002872,2803855964,149.00,149.00,146.50,147.00,-1.50,8799,0
99/05/04,18031359,2670051323,148.50,149.00,147.00,148.50,+1.50,7123,1
99/05/05,35107819,5060658936,145.50,145.50,143.00,143.00,-5.50,16578,0
99/05/06,28364976,4033482034,143.00,143.50,140.50,141.00,-2.00,11813,0
99/05/07,34816309,4833897260,137.50,140.00,137.00,139.50,-1.50,15633,0
99/05/10,25235536,3529406797,140.50,141.50,138.50,141.50,+2.00,11574,1
99/05/11,26247152,3719669294,143.00,143.00,140.00,140.00,-1.50,11839,0
99/05/12,12428484,1752019260,140.50,142.00,140.00,140.00,0.00,5344,0
99/05/13,13904305,1988118920,142.50,144.50,141.50,144.00,+4.00,7500,1
99/05/14,13146686,1883605386,143.00,144.00,142.50,143.50,-0.50,5029,0
99/05/17,20550111,2890774151,142.00,143.00,139.50,141.00,-2.50,9168,0
99/05/18,10066264,1421322224,142.00,142.00,140.50,141.00,0.00,4811,0
99/05/19,33272006,4592382834,139.00,140.00,136.50,137.50,-3.50,15516,0
99/05/20,29661007,4020425445,136.50,137.00,134.00,134.00,-3.50,14328,0
99/05/21,31055267,4072021899,130.00,132.50,129.50,131.00,-3.00,13099,0
99/05/24,14359230,1903771090,132.00,133.50,131.50,132.50,+1.50,6414,1
99/05/25,37823297,4819586719,131.00,131.00,124.00,126.00,-6.50,18282,0
99/05/26,29855410,3841927040,129.00,130.50,127.50,129.00,+3.00,11209,1
99/05/27,32235830,4111246570,127.00,128.50,126.00,128.50,-0.50,13013,0
99/05/28,45647423,5837909144,130.00,130.00,126.00,127.00,-1.50,19110,0
99/05/31,66503196,8249178972,126.00,126.50,122.50,124.50,-2.50,27929,0
99/06/01,51531363,6411124288,123.00,126.00,122.50,124.50,0.00,20170,0
99/06/02,67491952,8204872061,123.50,124.00,119.00,119.50,-5.00,31498,0
