data,volume,price,open,high,low,close,diff,times,result
100/01/03,35747205,2541551155,71.50,71.60,70.80,71.10,+0.10,7394,1
100/01/04,36048199,2567399929,71.00,71.60,70.80,71.20,+0.10,8813,1
100/01/05,54327088,3811818734,70.90,71.10,69.60,69.80,-1.40,12673,0
100/01/06,46802332,3295606915,69.80,71.00,69.70,71.00,+1.20,8619,1
100/01/07,170328819,12335418871,71.90,73.00,71.90,72.50,+1.50,23691,1
100/01/10,69703894,5110967768,73.00,74.20,72.60,74.20,+1.70,16369,1
100/01/11,82758806,6162045858,74.10,74.90,73.80,74.50,+0.30,16810,1
100/01/12,53637687,4014372696,74.70,75.00,74.70,74.90,+0.40,10433,1
100/01/13,93105337,6938412487,75.10,75.30,74.20,74.60,-0.30,12512,0
100/01/14,29817293,2220104622,74.40,74.80,74.10,74.80,+0.20,5767,1
100/01/17,67400276,5092053375,75.40,75.90,75.30,75.80,+1.00,11899,1
100/01/18,57357186,4373750537,75.50,77.40,75.20,76.80,+1.00,13917,1
100/01/19,87297730,6768302794,76.90,78.30,76.60,78.00,+1.20,19410,1
100/01/20,43718267,3341141503,77.00,77.00,76.10,76.40,-1.60,14962,0
100/01/21,81475611,6091444279,74.00,75.20,74.00,74.60,-1.80,15460,0
100/01/24,46169039,3467457893,75.20,75.40,74.60,75.30,+0.70,8248,1
100/01/25,50794623,3826117525,75.90,75.90,74.90,75.00,-0.30,9000,0
100/01/26,66830494,4989976065,74.60,75.20,74.30,74.60,-0.40,11664,0
100/01/27,69892004,5251216072,74.90,75.40,74.80,75.20,+0.60,13786,1
100/01/28,110404458,8379115848,75.20,76.90,74.90,76.30,+1.10,22572,1
100/02/08,110969823,8381585010,77.00,77.00,74.80,75.50,-0.80,26740,0
100/02/09,81246782,6040472175,75.50,75.60,73.80,73.80,-1.70,20142,0
100/02/10,83632934,6078858298,73.10,73.40,72.00,72.00,-1.80,20588,0
100/02/11,112430037,8044680271,72.20,72.40,70.90,71.40,-0.60,26850,0
100/02/14,66889583,4841305528,72.00,72.90,71.50,72.50,+1.10,14377,1
100/02/15,56495041,4102685127,72.40,73.10,71.40,72.50,0.00,13726,0
100/02/16,54423863,3933560828,72.40,72.70,71.90,72.10,-0.40,11904,0
100/02/17,49330644,3562377585,72.40,72.90,71.60,72.50,+0.40,11030,1
100/02/18,74599914,5483477622,73.10,73.90,73.00,73.00,+0.50,14923,1
100/02/21,39070280,2849659463,73.10,73.40,72.30,73.40,+0.40,7394,1
100/02/22,82661396,5929226108,72.20,72.50,71.20,72.50,-0.90,18155,0
100/02/23,80262579,5724036296,71.50,71.90,70.50,71.00,-1.50,19137,0
100/02/24,62768424,4454063545,71.00,71.40,70.50,70.50,-0.50,12755,0
100/02/25,78873152,5559067692,70.60,71.10,69.90,70.50,0.00,17438,0
100/03/01,84618121,6003532203,70.00,71.80,70.00,71.40,+0.90,15496,1
100/03/02,53047407,3745323697,70.80,71.00,70.40,70.40,-1.00,12752,0
100/03/03,59498499,4214044381,70.10,71.60,70.10,70.80,+0.40,10928,1
100/03/04,60659920,4348797572,71.50,72.00,71.30,71.80,+1.00,11646,1
100/03/07,30172470,2149438070,71.60,71.70,70.90,70.90,-0.90,7613,0
100/03/08,55818519,3982273270,70.50,71.80,70.50,71.50,+0.60,9129,1
100/03/09,46796528,3350255428,72.20,72.20,71.10,71.40,-0.10,7702,0
100/03/10,64180088,4539678068,72.10,72.10,70.10,70.50,-0.90,13650,0
100/03/11,52600534,3687666814,70.00,70.60,69.50,70.00,-0.50,12715,0
100/03/14,48041338,3354385405,70.30,70.50,69.10,70.30,+0.30,10839,1
100/03/15,117025324,7953678108,70.00,70.10,66.20,68.00,-2.30,26883,0
100/03/16,62389483,4274786011,68.80,69.10,68.10,68.50,+0.50,12755,1
100/03/17,105442287,7033491536,66.80,67.50,65.70,67.40,-1.10,22945,0
100/03/18,55721233,3780251570,67.80,68.40,67.20,68.30,+0.90,13797,1
100/03/21,36534983,2510013669,68.30,69.10,68.00,69.00,+0.70,9293,1
100/03/22,34736830,2393692119,69.50,69.50,68.40,68.60,-0.40,8792,0
100/03/23,31238583,2142998527,69.10,69.10,68.10,68.70,+0.10,8969,1
100/03/24,44747838,3111389809,69.10,70.10,69.00,69.40,+0.70,10271,1
100/03/25,51712263,3656021795,70.40,71.20,70.00,71.20,+1.80,14870,1
100/03/28,31030915,2197248591,70.60,71.00,70.30,71.00,-0.20,8150,0
