date,dividend,PE,netWorth,season
099年08月04日,24.40,4.65,3.63,0
099年01月05日,24.25,4.68,3.61,0
099年01月06日,24.40,4.65,3.63,0
099年01月07日,24.14,4.70,3.59,0
099年01月08日,24.06,4.72,3.58,0
099年01月11日,24.25,4.68,3.61,0
099年01月12日,23.91,4.75,3.56,0
099年01月13日,23.61,4.81,3.51,0
099年01月14日,23.76,4.78,3.54,0
099年01月15日,23.87,4.76,3.55,0
099年01月18日,23.65,4.80,3.52,0
099年01月19日,23.50,4.83,3.50,0
099年01月20日,23.68,4.79,3.53,0
099年01月21日,23.53,4.82,3.50,0
099年01月22日,22.97,4.94,3.42,0
099年01月25日,22.71,5.00,3.38,0
099年01月26日,22.59,5.02,3.36,0
099年01月27日,22.41,5.07,3.34,0
099年01月28日,22.56,5.03,3.36,0
099年01月29日,23.12,4.91,3.44,0
099年02月01日,22.48,5.05,3.35,0
099年02月02日,22.18,5.12,3.30,0
099年02月03日,22.48,5.05,3.35,0
099年02月04日,22.22,5.11,3.31,0
099年02月05日,21.50,5.28,3.20,0
099年02月06日,21.80,5.21,3.25,0
099年02月08日,21.58,5.26,3.21,0
099年02月09日,22.03,5.15,3.28,0
099年02月10日,21.95,5.17,3.27,0
099年02月22日,22.18,5.12,3.30,0
099年02月23日,22.48,5.05,3.35,0
099年02月24日,21.99,5.16,3.27,0
099年02月25日,21.88,5.19,3.26,0
099年02月26日,22.11,5.14,3.08,0
099年03月01日,17.33,5.07,3.12,0
099年03月02日,17.41,5.04,3.13,0
099年03月03日,17.44,5.03,3.14,0
099年03月04日,17.21,5.10,3.10,0
099年03月05日,17.56,5.00,3.16,0
099年03月08日,17.79,4.93,3.20,0
099年03月09日,17.82,4.93,3.21,0
099年03月10日,17.85,4.92,3.21,0
099年03月11日,17.85,4.92,3.21,0
099年03月12日,17.67,4.97,3.18,0
099年03月15日,17.38,5.05,3.13,0
099年03月16日,17.35,5.06,3.12,0
099年03月17日,17.59,4.99,3.17,0
099年03月18日,17.56,5.00,3.16,0
099年03月19日,17.44,5.03,3.14,0
099年03月22日,17.15,5.12,3.09,0
099年03月23日,17.33,5.07,3.12,0
099年03月24日,17.62,4.98,3.17,0
099年03月25日,17.88,4.91,3.22,0
099年03月26日,18.02,4.87,3.24,0
099年03月29日,18.08,4.86,3.25,0
099年03月30日,18.08,4.86,3.25,0
099年03月31日,17.88,4.91,3.22,0
