X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
0,1999/1/4,2050057,135668294,67.8,67.9,65,66.5,-0.2,1159,0,65,67.9,51.72413793,50,50,50
1,1999/1/5,3117242,201704688,66.4,66.5,64,64,-2.5,1543,0,64,67.9,0,33.33333333,44.44444444,66.66666667
2,1999/1/6,5646979,354824377,64.8,65,61.5,62.8,-1.2,2126,0,61.5,67.9,20.3125,28.99305556,39.29398148,59.89583333
3,1999/1/7,2869905,180538130,62.8,63.7,62.5,62.8,0,1341,0,61.5,67.9,20.3125,26.09953704,34.89583333,52.48842593
4,1999/1/8,4155771,253996155,62.8,62.8,60.5,61.8,-1,1556,0,60.5,67.9,17.56756757,23.25554721,31.01573796,46.53611945
5,1999/1/11,2127298,130390678,62,62.2,60.8,60.9,-0.9,991,1,60.5,67.9,5.405405405,17.30549994,26.44565862,44.72597598
6,1999/1/12,5639121,358556775,61.9,65.1,61.9,65.1,4.2,2240,0,60.5,67.9,62.16216216,32.25772068,28.38301264,20.63359656
7,1999/1/13,8638623,572075292,65.1,67.5,64.6,65.1,0,3718,1,60.5,67.9,62.16216216,42.22586784,32.99729771,14.54015744
8,1999/1/14,2933937,193403581,66.4,66.8,65.1,65.3,0.2,1633,1,60.5,67.9,64.86486486,49.77220018,38.58893187,16.22239523
9,1999/1/15,3136852,207564357,66,67,65.4,65.8,0.5,1586,1,60.5,67.5,75.71428571,58.41956203,45.19914192,18.75830171
10,1999/1/18,2341727,155568509,65.4,67.1,64.8,66.8,1,1264,0,60.5,67.5,90,68.94637468,53.11488618,21.45190916
11,1999/1/19,2508379,166602960,67,67.4,65.5,65.6,-1.2,1100,0,60.5,67.5,72.85714286,70.24996408,58.82657881,35.97980828
12,1999/1/20,1601123,105361418,66.1,66.6,65.3,65.5,-0.1,827,0,60.5,67.5,71.42857143,70.64283319,62.76533027,47.01032442
13,1999/1/21,2226763,141891871,65.5,65.5,62.8,63.1,-2.4,1228,1,60.8,67.5,34.32835821,58.5380082,61.35622291,66.99265234
14,1999/1/22,2318144,147223643,61.2,64.5,61.2,64,0.9,1205,0,61.2,67.5,44.44444444,53.84015361,58.85086648,68.87229221
15,1999/1/25,1116897,71646126,63.8,64.7,63.2,64,0,598,0,61.2,67.5,44.44444444,50.70825056,56.13666117,66.9934824
16,1999/1/26,2741295,169888642,64,64.6,60,61,-3,1184,0,60,67.4,13.51351351,38.31000488,50.19444241,73.96331747
17,1999/1/27,1190420,72975835,61.4,62.1,60.6,60.6,-0.4,685,1,60,67.4,8.108108108,28.24270595,42.87719692,72.14617886
18,1999/1/28,865000,53331200,61,62.2,61,61.8,1.2,395,0,60,67.4,24.32432432,26.93657874,37.56365753,58.8178151
19,1999/1/29,1731699,108084298,62.8,63.4,61.2,61.8,0,1146,0,60,67.4,24.32432432,26.06582727,33.73104744,49.06148779
20,1999/2/1,691544,42414210,62.3,62.3,60.2,60.5,-1.3,441,0,60,66.6,7.575757576,19.90247071,29.12152186,47.55962418
21,1999/2/2,1814302,107148548,61.9,62,57,59,-1.5,963,1,57,65.5,23.52941176,21.11145106,26.45149826,37.13159267
22,1999/2/3,741178,43791773,58.2,59.8,58.2,59.7,0.7,510,1,57,64.7,35.06493506,25.76261239,26.22186964,27.14038413
23,1999/2/4,509015,30488813,59.9,61,59,61,1.3,345,0,57,64.7,51.94805195,34.49109225,28.97827717,17.95264703
24,1999/2/5,966812,56454338,58.3,59.7,57.3,59.7,-1.3,555,0,57,64.6,35.52631579,34.83616676,30.93090704,23.12038759
25,1999/2/6,2434288,136710568,57.2,58.1,55.6,55.6,-4.1,1137,0,55.6,63.4,0,23.22411117,28.36197508,38.6377029
26,1999/2/8,3601215,188997340,53,55.6,51.8,55.6,0,1716,0,51.8,63.4,32.75862069,26.40228101,27.70874373,30.32166915
27,1999/2/9,3017250,163262897,55,55,52.7,55,-0.6,1433,1,51.8,63.4,27.5862069,26.79692297,27.40480347,28.62056448
28,1999/2/10,3182300,176588400,55,56.3,54.4,56,1,1856,0,51.8,62.3,40,31.19794865,28.6691852,23.6116583
29,1999/2/22,2051000,114361600,57,57.2,54.8,55.8,-0.2,974,0,51.8,62,39.21568627,33.87052786,30.40296609,23.46784254
30,1999/2/23,2117277,115484761,55.3,55.8,54,54.5,-1.3,969,1,51.8,61,29.34782609,32.3629606,31.05629759,28.44297157
31,1999/2/24,1391398,75925290,53.7,55.3,53.7,54.7,0.2,812,0,51.8,61,31.52173913,32.08255344,31.39838288,30.03004174
32,1999/2/25,1832150,100678800,55.4,55.7,54.2,54.5,-0.2,948,0,51.8,59.7,34.17721519,32.78077403,31.85917993,30.01599172
33,1999/2/26,1104000,59447100,54.6,54.8,53.5,53.5,-1,555,1,51.8,58.1,26.98412698,30.84855835,31.52230607,32.86980151
34,1999/3/1,2256346,123592430,53.5,55.5,53.5,54.5,1,1126,0,51.8,57.2,50,37.23237223,33.42566145,25.8122399
35,1999/3/2,1539124,84374320,55,55.5,54.4,54.4,-0.1,777,1,52.7,57.2,37.77777778,37.41417408,34.75516566,29.43714883
36,1999/3/3,2394021,132840222,55,56.1,54.4,55.3,0.9,1209,0,53.5,57.2,48.64864865,41.15899894,36.88977675,28.35133239
37,1999/3/4,1641879,90852945,55.7,56.2,54.5,54.5,-0.8,785,1,53.5,57.2,27.02702703,36.44834163,36.74263171,37.33121187
38,1999/3/5,1320200,72399400,54.7,55.3,54.5,54.8,0.3,659,1,53.5,56.2,48.14814815,40.34827714,37.94451352,33.13698629
39,1999/3/8,2485050,139624334,55.6,56.6,55.5,56.4,1.6,1183,1,53.5,56.6,93.5483871,58.08164712,44.65689139,17.80737992
40,1999/3/9,5760506,336311505,57.5,59.7,57.1,59.7,3.3,2084,0,53.5,59.7,100,72.05443142,53.78940473,17.25935136
41,1999/3/10,8451281,511738534,60.4,61.5,59,59,-0.7,3522,0,53.5,61.5,68.75,70.95295428,59.51058791,36.62585519
42,1999/3/11,1791205,105238071,59.6,59.6,58.2,58.8,-0.2,1060,1,53.5,61.5,66.25,69.38530285,62.80215956,49.63587298
43,1999/3/12,1751356,104061110,59.2,60,58.9,59.3,0.5,1031,0,54.4,61.5,69.01408451,69.2615634,64.95529417,56.34275572
44,1999/3/15,2083500,121474150,59.8,59.9,57.5,57.5,-1.8,1096,1,54.4,61.5,43.66197183,60.72836621,63.54631819,69.18222214
45,1999/3/16,2257000,128814700,57.8,58,56.5,57.9,0.4,1066,1,54.5,61.5,48.57142857,56.67605367,61.25623001,70.41658271
46,1999/3/17,2061685,121319740,58.5,59.2,58.1,58.8,0.9,981,1,54.5,61.5,61.42857143,58.26022625,60.25756209,64.25223377
47,1999/3/18,4548501,275695261,59.7,61.5,58.9,60.7,1.9,2092,0,55.5,61.5,86.66666667,67.72903972,62.74805464,52.78608446
48,1999/3/19,2627380,159318989,61,61,60.2,60.5,-0.2,1134,1,56.5,61.5,80,71.81935982,65.77182303,53.67674946
49,1999/3/22,2758016,168966989,60.3,62.2,59.8,62.1,1.6,1358,0,56.5,62.2,98.24561404,80.62811122,70.72391909,50.91553484
50,1999/3/23,3048001,188229061,62.5,62.6,61.1,61.1,-1,1298,0,56.5,62.6,75.40983607,78.88868617,73.44550812,62.55915202
51,1999/3/24,1329902,80948722,62,62,59.9,61,-0.1,649,0,56.5,62.6,73.7704918,77.18262138,74.69121254,69.70839486
52,1999/3/25,1014024,61657468,60,61.7,60,61,0,523,1,56.5,62.6,73.7704918,76.04524486,75.14255665,73.33718022
53,1999/3/26,1815189,111522684,61,62.1,60.8,61.3,0.3,777,1,56.5,62.6,78.68852459,76.9263381,75.73715046,73.35877519
54,1999/3/29,1540930,95866514,61.7,63,61.3,61.4,0.1,844,0,58.1,63,67.34693878,73.73320499,75.06916864,77.74109594
55,1999/3/30,1722250,106465500,62,62.4,60.8,61,-0.4,993,1,58.9,63,51.2195122,66.22864073,72.122326,83.90969655
56,1999/3/31,1096718,67616128,61,62,61,61.9,0.9,653,1,59.8,63,65.625,66.02742715,70.09069305,78.21722485
57,1999/4/1,2085732,130149674,61.4,62.9,61.3,62.2,0.3,981,1,59.8,63,75,69.01828477,69.73322362,71.16310134
58,1999/4/2,948815,59580751,62.9,63.5,62.2,62.4,0.2,554,1,59.9,63.5,69.44444444,69.16033799,69.54226175,70.30610925
