X,data,volume,price,open,high,low,close,diff,times,result,K,D,J,rsi10,rsi5,macd,WR5,WR10
0,1999/1/4,2158341,95474778,44.2,45.2,43.6,43.9,0.0,949,0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0
1,1999/1/5,1628740,71195220,43.5,44.3,43.3,43.55,-0.3500000000000014,622,1,37.71929825,45.90643275,62.28070175,0.0,0.0,-0.004362535612535289,0.0,0.0
2,1999/1/6,2424151,107794822,43.55,45.0,43.5,44.3,0.75,953,0,42.69005848,44.83430799,49.12280702,17.647058823529353,29.999999999999915,0.002856425632420607,0.0,0.0
3,1999/1/7,1234358,54269311,44.3,44.8,43.4,43.5,-0.7999999999999972,583,0,31.96881092,40.54580897,57.69980507,14.61988304093564,21.676300578034656,-0.00026502110107512776,0.0,0.0
4,1999/1/8,1181830,51182969,43.5,43.6,43.05,43.3,-0.20000000000000284,453,0,25.1885096,35.42670918,55.90310833,13.961280714817534,20.010672358591208,-0.007575037384703007,-100.0,0.0
5,1999/1/11,1756493,76206249,43.3,43.85,43.05,43.05,-0.25,714,1,16.79233974,29.2152527,54.06107862,13.146938954380088,17.942583732057386,-0.01803663437915601,-100.0,0.0
6,1999/1/12,1230543,53317946,43.05,43.7,43.05,43.3,0.25,512,0,15.07086215,24.50045585,43.35964325,18.38356717223085,26.99642431466026,-0.025551433863793625,-80.0,0.0
7,1999/1/13,887903,38364679,43.0,43.6,42.9,43.0,-0.29999999999999716,407,1,11.4965168,20.1658095,37.5043949,17.028337815123972,23.29521078088543,-0.03437735327786282,-100.0,0.0
8,1999/1/14,2174388,95366391,43.0,44.8,43.0,44.0,1.0,693,0,23.60637352,21.31266417,16.72524548,34.68368044207369,50.461920938265024,-0.031469447875827415,0.0,0.0
9,1999/1/15,849014,36998204,44.1,44.1,43.1,43.75,-0.25,370,0,29.22964584,23.95165806,13.3956825,32.76630765952661,45.61522631344554,-0.025679574770604587,-25.0,-42.30769230769218
10,1999/1/18,1900196,81808863,43.15,43.5,42.85,42.9,-0.8500000000000014,719,0,20.26162436,22.72164682,27.64169176,27.15244346574202,32.7726192760698,-0.028628085556715702,-100.0,-100.0
11,1999/1/19,1118122,48080346,43.0,43.35,42.85,42.85,-0.04999999999999716,395,1,13.50774957,19.65034774,31.93554408,26.854729679192214,32.134002233307804,-0.036643288826691024,-100.0,-100.0
12,1999/1/20,1138394,49255606,42.85,43.8,42.8,42.95,0.10000000000000142,499,1,11.50516638,16.93528729,27.7955291,28.577578924401426,35.16609692925955,-0.04567047374037277,-91.30434782608681,-91.30434782608681
13,1999/1/21,1508971,65585447,43.0,44.2,42.9,43.25,0.29999999999999716,645,0,15.17011092,16.34689516,18.70046365,33.728685688025664,44.14912941320822,-0.050942659511498484,-55.55555555555565,-65.2173913043479
14,1999/1/22,1375500,58588423,42.3,43.2,42.0,42.6,-0.6499999999999986,465,0,17.25626442,16.65001825,15.43752591,28.781441839086213,32.45682359867392,-0.06156496780841472,-100.0,-100.0
15,1999/1/25,1023212,43080631,41.8,42.55,41.8,42.1,-0.5,336,0,14.83750962,16.04584871,18.46252689,25.60371725175224,26.08095444130867,-0.08079041142708235,-100.0,-100.0
16,1999/1/26,2027374,82631312,42.1,42.45,39.25,39.35,-2.75,756,0,10.49227368,14.19465703,21.59942373,15.350196401883439,11.356756743354284,-0.13863766762538796,-100.0,-100.0
17,1999/1/27,1438123,56681856,39.5,39.8,39.05,39.35,0.0,520,1,8.936596691,12.44197025,19.45271737,15.350196401883439,11.356756743354284,-0.21605460177306207,-100.0,-100.0
18,1999/1/28,740085,29568720,39.6,40.8,39.4,40.4,1.0499999999999972,306,0,14.69559521,13.19317857,10.18834529,28.56660002599677,32.354261902077006,-0.28673901949903396,-67.69230769230778,-76.1363636363637
19,1999/1/29,568700,22597396,39.8,40.1,39.4,40.0,-0.3999999999999986,225,0,15.94593078,14.11076264,10.44042635,26.81237235220208,29.193050918772485,-0.3539296469775149,-76.36363636363642,-83.33333333333336
20,1999/2/1,557731,22176564,40.0,40.1,39.45,39.8,-0.20000000000000284,229,0,15.48498945,14.56883825,12.73653583,25.936381679446814,27.57641915548214,-0.41706449549015867,-57.14285714285743,-88.46153846153857
21,1999/2/2,614157,24209878,39.8,40.25,38.7,38.75,-1.0499999999999972,356,1,10.62635661,13.2546777,18.51131988,21.81955871357351,20.443985551189023,-0.4874192503539233,-100.0,-100.0
22,1999/2/3,594686,23226757,39.35,39.45,38.75,39.3,0.5499999999999972,213,1,11.52868218,12.67934586,14.98067322,28.37059800171076,31.56914994647007,-0.5497028208582725,-66.66666666666681,-87.77777777777784
23,1999/2/4,465054,18303116,39.45,39.6,39.05,39.4,0.10000000000000142,231,0,13.74639418,13.03502863,11.61229754,29.551232533518913,33.59520578750388,-0.6009250707353097,-48.000000000000114,-83.11688311688316
24,1999/2/5,1534455,58654694,38.8,39.0,37.2,37.7,-1.6999999999999957,692,1,12.33886596,12.80297441,13.73119131,22.588825452593404,20.944774492388216,-0.6648250499726314,-100.0,-100.0
25,1999/2/6,1143380,43776791,37.95,38.8,37.7,38.7,1.0,574,1,22.11479953,15.90691612,3.49114929,32.82904155638751,37.545409965319834,-0.7175091809826591,-41.17647058823515,-62.96296296296291
26,1999/2/8,618824,24251964,39.5,39.5,39.0,39.0,0.29999999999999716,310,1,31.40986635,21.0745662,0.40396588,35.638642253578844,41.934878791527,-0.7544488851166378,-23.529411764705856,-51.85185185185188
