data,volume,price,open,high,low,close,diff,times,result
100/01/03,14930270,1751928590,118.00,118.00,117.00,117.50,0.00,6432,0
100/01/04,25370452,2995369009,118.00,119.00,117.50,117.50,0.00,9912,0
100/01/05,29439287,3402168255,117.50,118.00,114.00,114.50,-3.00,11156,0
100/01/06,18471341,2113306215,114.50,115.00,114.00,114.50,0.00,6899,0
100/01/07,17206955,1962771291,114.50,115.50,113.00,114.00,-0.50,6981,0
100/01/10,12554073,1421154322,114.50,114.50,112.50,113.50,-0.50,6050,0
100/01/11,26096416,3013388480,114.50,116.50,114.00,116.00,+2.50,10971,1
100/01/12,14365650,1670879400,116.50,117.00,115.50,116.00,0.00,6935,0
100/01/13,23531718,2743290288,116.50,117.00,115.50,117.00,+1.00,8501,1
100/01/14,11335074,1320824575,117.00,117.00,116.00,117.00,0.00,5284,0
100/01/17,10551295,1219034925,117.00,117.00,115.00,115.00,-2.00,5090,0
100/01/18,14797820,1695032300,114.00,115.00,114.00,115.00,0.00,6861,0
100/01/19,19337292,2249210372,116.00,117.00,115.00,117.00,+2.00,8925,1
100/01/20,31822170,3728479840,117.00,118.00,116.00,117.50,+0.50,12219,1
100/01/21,18605253,2159649644,117.00,117.50,115.50,115.50,-2.00,6725,0
100/01/24,8356181,966162846,116.00,116.00,115.00,116.00,+0.50,3732,1
100/01/25,20918405,2419123702,117.00,117.00,116.00,116.50,+0.50,7809,1
100/01/26,79440012,9471099738,117.00,121.00,116.50,120.50,+4.00,34618,1
100/01/27,105944479,13157550727,123.00,126.00,123.00,124.00,+3.50,42034,1
100/01/28,58188377,7242392388,125.00,125.50,123.00,125.00,+1.00,22149,1
100/02/08,59411810,7438650810,126.00,126.50,124.00,124.50,-0.50,20511,0
100/02/09,54040668,6536334160,124.00,125.00,119.00,120.00,-4.50,20925,0
100/02/10,35167864,4190252316,118.00,121.00,117.00,119.00,-1.00,13849,0
100/02/11,32272273,3780658726,118.50,119.00,116.00,116.00,-3.00,13961,0
100/02/14,24841558,2908966696,116.50,118.00,116.00,117.00,+1.00,8023,1
100/02/15,21198131,2452124696,116.50,116.50,115.00,115.00,-2.00,10242,0
100/02/16,19578614,2261887224,115.00,116.00,115.00,115.00,0.00,8745,0
100/02/17,22443110,2592210760,115.50,116.50,115.00,115.00,0.00,6777,0
100/02/18,17018538,1982098109,116.00,117.00,116.00,116.50,+1.50,6030,1
100/02/21,31101291,3549534954,116.00,116.00,113.50,114.00,-2.50,14463,0
100/02/22,37630681,4182863540,112.00,112.00,110.00,111.50,-2.50,17616,0
100/02/23,37091364,4098016797,110.00,112.00,110.00,110.00,-1.50,16260,0
100/02/24,25714668,2836893230,110.00,111.50,109.00,109.00,-1.00,9985,0
100/02/25,32489916,3566732167,110.00,111.00,109.00,109.00,0.00,12252,0
100/03/01,33579950,3756742300,110.00,114.00,109.50,114.00,+5.00,12861,1
