data,volume,price,open,high,low,close,diff,times,result
102/01/02,34036039,3041397424,89.50,89.90,88.60,88.70,-0.20,11909,0
102/01/03,34793877,3101809036,89.40,89.70,88.70,89.10,+0.40,12671,1
102/01/04,42728314,3769046332,88.30,88.90,87.80,88.00,-1.10,16360,0
102/01/07,47071853,4102092126,88.00,88.00,86.70,86.80,-1.20,21550,0
102/01/08,45101201,3912879714,86.80,87.50,86.50,87.00,+0.20,18628,1
102/01/09,28602004,2507702152,87.80,88.50,87.20,87.80,+0.80,12787,1
102/01/10,41036190,3615244193,88.40,88.60,87.40,88.60,+0.80,14400,1
102/01/11,32874619,2924359019,89.50,89.70,88.60,88.60,0.00,13071,0
102/01/14,53523145,4670892278,88.40,88.50,86.60,87.20,-1.40,20609,0
102/01/15,107685143,9146454655,86.50,86.50,84.00,84.20,-3.00,52857,0
102/01/16,73553828,6182769148,83.50,85.10,83.20,84.00,-0.20,32199,0
102/01/17,37829862,3195480932,85.00,85.30,83.70,83.90,-0.10,17622,0
102/01/18,34719928,2952895450,84.90,85.40,84.50,85.40,+1.50,15900,1
102/01/21,18847753,1598546435,85.00,85.20,84.40,84.60,-0.80,7542,0
102/01/22,29648220,2531739749,84.80,85.90,84.70,85.40,+0.80,11382,1
102/01/23,28727965,2461490211,86.20,86.20,85.00,85.00,-0.40,11074,0
102/01/24,89893890,7449398970,83.50,83.60,82.30,82.50,-2.50,38464,0
102/01/25,33994887,2813581228,82.30,83.40,82.20,83.40,+0.90,14769,1
102/01/28,16705943,1396216813,83.30,83.80,83.30,83.60,+0.20,8201,1
102/01/29,32156589,2722376469,84.00,85.00,83.90,84.90,+1.30,13233,1
102/01/30,22082354,1877911630,85.30,85.40,84.80,84.90,0.00,8775,0
102/01/31,20701301,1750467206,84.30,84.90,84.30,84.40,-0.50,6646,0
102/02/01,18029050,1522920931,84.50,85.00,84.10,84.60,+0.20,6951,1
102/02/04,32168271,2704801326,84.50,84.50,83.80,84.00,-0.60,14896,0
102/02/05,31376592,2606554145,83.50,83.50,82.80,83.10,-0.90,13872,0
102/02/06,29124117,2444270676,83.50,84.50,83.10,83.60,+0.50,13235,1
102/02/18,36760732,3061462116,84.80,84.80,82.70,82.80,-0.80,16218,0
102/02/19,23674789,1988516838,83.90,84.40,83.40,84.10,+1.30,9850,1
102/02/20,25091531,2121990224,84.50,85.10,84.20,84.80,+0.70,10465,1
102/02/21,33445606,2800151122,84.70,84.80,83.20,83.20,-1.60,12315,0
102/02/22,25031470,2076457220,82.60,83.20,82.60,83.20,0.00,11585,0
102/02/23,8771441,729148542,83.30,83.60,82.90,83.10,-0.10,4629,0
102/02/25,16127687,1339404167,83.20,83.50,82.80,82.80,-0.30,7715,0
102/02/26,40026524,3286562047,82.30,82.60,81.70,81.70,-1.10,18688,0
102/02/27,31950955,2619602830,82.40,82.50,81.70,81.70,0.00,11837,0
102/03/01,39584092,3233122458,81.70,82.70,81.10,81.60,-0.10,17094,0
102/03/04,37579092,3038498477,81.60,81.80,80.30,80.50,-1.10,17484,0
102/03/05,48598357,3899141135,81.00,81.10,79.70,80.00,-0.50,20827,0
102/03/06,63565651,5120666145,80.50,81.30,79.80,80.50,+0.50,24639,1
102/03/07,37728018,3044562855,80.60,81.50,80.20,80.40,-0.10,16882,0
102/03/08,32053633,2590590499,81.00,81.30,80.50,80.50,+0.10,12430,1
102/03/11,24324011,1953431699,80.50,80.80,79.80,80.50,0.00,10789,0
102/03/12,25710881,2071599062,80.00,81.20,80.00,80.50,0.00,11528,0
102/03/13,29143039,2340016434,80.50,81.00,80.00,80.00,-0.50,13241,0
102/03/14,22003677,1775737114,80.50,81.20,80.10,80.50,+0.50,10265,1
102/03/15,38879035,3151951608,81.10,81.50,80.70,80.70,+0.20,12845,1
102/03/18,33796945,2758338773,81.00,82.20,81.00,81.50,+0.80,15352,1
102/03/19,53734406,4446571066,82.10,83.70,81.80,83.20,+1.70,23103,1
102/03/20,32794092,2712950623,83.50,83.50,82.00,82.10,-1.10,13900,0
102/03/21,24176205,1997498255,83.20,83.20,82.10,82.10,0.00,8972,0
102/03/22,42390237,3533074371,82.80,83.90,82.60,82.90,+0.80,16936,1
102/03/25,24260912,2015535385,83.50,83.70,82.40,82.40,-0.50,9359,0
102/03/26,49479664,4149381585,84.20,84.20,83.50,83.50,+1.10,19808,1
102/03/27,34781376,2914866637,84.10,84.30,83.30,83.50,0.00,13010,0
102/03/28,30257224,2507259712,83.80,83.80,82.60,82.70,-0.80,12335,0
102/03/29,16732430,1390885813,83.50,83.50,82.80,83.30,+0.60,6325,1
102/04/01,11213834,929466322,83.30,83.30,82.70,82.80,-0.50,5399,0
102/04/02,14784574,1231458409,83.30,83.50,82.80,83.10,+0.30,6849,1
102/04/03,16366062,1358826654,83.30,83.40,82.80,83.10,0.00,7210,0
102/04/08,48114394,3896972714,81.50,81.50,80.70,80.80,-2.30,20583,0
102/04/09,24630939,1988558848,80.90,81.20,80.50,80.50,-0.30,11493,0
102/04/10,22651694,1828207927,80.90,81.20,80.50,80.60,+0.10,8832,1
102/04/11,33809717,2716568193,80.40,80.90,79.80,80.50,-0.10,15739,0
102/04/12,76774610,6095114790,80.20,80.50,78.50,78.60,-1.90,35976,0
102/04/15,79900921,6188513587,78.50,78.60,76.30,77.10,-1.50,36618,0
102/04/16,71759727,5469759750,76.10,77.10,75.50,77.00,-0.10,28350,0
102/04/17,40939168,3185366402,77.40,78.30,77.40,77.70,+0.70,17759,1
102/04/18,45482579,3481584754,76.20,77.00,75.60,76.70,-1.00,20634,0
102/04/19,48406658,3752697324,76.50,78.50,76.50,77.60,+0.90,23095,1
102/04/22,23582827,1811742301,77.60,77.60,76.70,76.90,-0.70,12446,0
102/04/23,36916351,2815677635,76.60,76.80,76.00,76.20,-0.70,18375,0
102/04/24,32487420,2517346527,76.70,78.10,76.60,78.10,+1.90,15587,1
102/04/25,23202024,1795716662,78.00,78.00,77.00,77.40,-0.70,10640,0
102/04/26,69682746,5333745982,77.00,77.10,76.00,76.20,-1.20,29718,0
102/04/29,48336312,3669265673,76.40,76.70,75.50,75.50,-0.70,22444,0
102/04/30,51469726,3930301775,76.00,76.90,76.00,76.20,+0.70,18313,1
102/05/02,42073915,3225698320,76.60,77.40,75.80,76.40,+0.20,17062,1
102/05/03,46752371,3616848097,76.80,77.80,76.80,77.50,+1.10,20309,1
