date,dividend,PE,netWorth,season
099年01月04日,20.04,2.47,6.17,0
099年01月05日,20.08,2.47,6.18,0
099年01月06日,20.33,2.44,6.25,0
099年01月07日,19.83,2.50,6.10,0
099年01月08日,19.44,2.55,5.98,0
099年01月11日,19.72,2.51,6.07,0
099年01月12日,19.72,2.51,6.07,0
099年01月13日,19.34,2.56,5.95,0
099年01月14日,20.25,2.45,6.23,0
099年01月15日,20.64,2.40,6.35,0
099年01月18日,20.71,2.39,6.37,0
099年01月19日,20.15,2.46,6.20,0
099年01月20日,20.36,2.43,6.27,0
099年01月21日,19.44,2.55,5.98,0
099年01月22日,18.49,2.68,5.69,0
099年01月25日,18.59,2.67,5.72,0
099年01月26日,18.24,2.72,5.61,0
099年01月27日,18.45,2.69,5.68,0
099年01月28日,18.49,2.68,5.69,0
099年01月29日,18.38,2.70,5.66,0
099年02月01日,17.85,2.78,5.49,0
099年02月02日,17.60,2.82,5.42,0
099年02月03日,17.99,2.75,5.54,0
099年02月04日,18.20,2.72,5.60,0
099年02月05日,18.06,2.74,5.56,0
099年02月06日,18.10,2.74,5.57,0
099年02月08日,17.89,2.77,5.50,0
099年02月09日,18.10,2.74,5.57,0
099年02月10日,18.31,2.71,5.63,0
099年02月22日,18.70,2.65,5.75,0
099年02月23日,18.88,2.63,5.81,0
099年02月24日,18.66,2.66,5.74,0
099年02月25日,17.92,2.77,5.52,0
099年02月26日,17.85,2.78,5.49,0
099年03月01日,18.31,2.71,5.63,0
099年03月02日,18.24,2.72,5.61,0
099年03月03日,18.56,2.67,5.71,0
099年03月04日,18.17,2.73,5.59,0
099年03月05日,17.99,2.75,5.54,0
099年03月08日,18.66,2.66,5.74,0
099年03月09日,18.81,2.64,5.79,0
099年03月10日,19.02,2.61,5.85,0
099年03月11日,19.30,2.57,5.94,0
099年03月12日,19.02,2.61,5.85,0
099年03月15日,18.73,2.65,5.77,0
099年03月16日,18.81,2.64,5.79,0
099年03月17日,19.34,2.56,5.95,0
099年03月18日,19.12,2.59,5.88,0
099年03月19日,19.05,2.60,5.86,0
099年03月22日,18.73,2.65,5.77,0
099年03月23日,18.35,2.70,5.65,0
099年03月24日,18.38,2.70,5.66,0
099年03月25日,18.91,2.62,5.82,0
099年03月26日,19.79,2.50,6.09,0
099年03月29日,19.72,2.51,6.07,0
099年03月30日,19.44,2.55,5.98,0
099年03月31日,19.48,2.54,5.99,0
099年04月01日,20.01,2.48,6.16,0
099年04月02日,19.79,2.50,6.09,0
099年04月06日,20.15,2.46,6.20,0
099年04月07日,20.04,2.47,6.17,0
