X,data,volume,price,open,high,low,close,diff,times,result,MinLow,MaxHigh,RSV,K,D,J
0,99/01/04,12963867,157972089,12.15,12.35,12.0,12.25,+0.10,2556,1,12.0,12.35,71.4285714285715,50.0,50.0,50.0
1,99/01/05,23725246,297202612,12.35,12.7,12.3,12.5,+0.25,4167,1,12.0,12.7,71.4285714285715,57.14285714285717,52.380952380952394,42.85714285714283
2,99/01/06,15153455,189513809,12.6,12.6,12.35,12.55,+0.05,2638,1,12.0,12.7,78.57142857142875,64.28571428571436,56.34920634920638,40.476190476190425
3,99/01/07,20727420,261647133,12.6,12.8,12.5,12.55,0.00,3692,0,12.0,12.8,68.75000000000003,65.77380952380959,59.49074074074079,46.92460317460319
4,99/01/08,25063455,319979383,12.55,12.95,12.55,12.75,+0.20,4589,1,12.0,12.95,78.94736842105269,70.16499582289062,63.04882576812407,48.81648565859098
5,99/01/11,27873517,363094517,12.7,13.15,12.7,13.15,+0.40,4780,1,12.0,13.15,100.0,80.1099972152604,68.73588291716952,45.98765432098773
6,99/01/12,13912021,180563180,13.2,13.2,12.85,13.0,-0.15,2871,0,12.0,13.2,83.33333333333339,81.1844425879514,72.88540280743014,56.28732324638764
7,99/01/13,22341128,282185679,12.85,12.9,12.45,12.5,-0.50,3479,0,12.0,13.2,41.66666666666669,68.01185061418983,71.26088540968337,77.75895500067045
8,99/01/14,7706303,97306933,12.5,12.7,12.5,12.65,+0.15,1549,1,12.0,13.2,54.16666666666673,63.39678929834879,68.6395200392385,79.12498152101793
9,99/01/15,14378527,184212379,12.75,12.9,12.75,12.85,+0.20,2605,1,12.3,13.2,61.11111111111109,62.63489656926956,66.63797888258219,74.64414350920745
10,99/01/18,6347196,80721436,12.65,12.8,12.6,12.75,-0.10,1482,0,12.35,13.2,47.058823529411825,57.44287222265031,63.57294332927157,75.83308554251408
11,99/01/19,7762040,97911486,12.85,12.9,12.5,12.5,-0.25,1749,0,12.45,13.2,6.666666666666761,40.517470370655786,55.88778567639964,86.62841628788735
12,99/01/20,7888103,99630515,12.75,12.75,12.55,12.6,+0.10,1626,1,12.45,13.2,20.00000000000005,33.678313580437205,48.48462831107882,78.09725777236204
13,99/01/21,6640873,83656672,12.6,12.75,12.5,12.55,-0.05,1247,0,12.45,13.2,13.333333333333522,26.89665349806931,41.28863670674232,70.07260312408832
14,99/01/22,14487146,177674817,12.35,12.45,12.15,12.2,-0.35,2518,0,12.15,13.2,4.761904761904665,19.51840391934776,34.03189244427746,63.05886949413686
15,99/01/25,12231932,146725021,12.1,12.15,11.85,11.85,-0.35,2129,0,11.85,12.9,0.0,13.012269279565174,27.025351389373366,55.051515608989746
16,99/01/26,14780970,171050141,11.85,11.95,11.3,11.3,-0.55,3050,0,11.3,12.9,0.0,8.674846186376783,20.90851632170784,45.375856592369956
17,99/01/27,8284900,93840122,11.3,11.45,11.2,11.25,-0.05,1805,0,11.2,12.9,2.941176470588275,6.763622947780614,16.193551863732097,35.05340969563506
18,99/01/28,6300914,71893101,11.3,11.5,11.3,11.4,+0.15,1151,1,11.2,12.9,11.764705882352997,8.430650592638075,13.605918106700756,23.956453134826116
19,99/01/29,6144484,69726105,11.3,11.5,11.2,11.5,+0.10,1627,1,11.2,12.9,17.647058823529445,11.502786669601864,12.904874294334459,15.709049543799644
20,99/02/01,4821559,54500864,11.45,11.5,11.2,11.2,-0.30,1333,0,11.2,12.75,0.0,7.668524446401243,11.159424345023387,18.141224142267674
21,99/02/02,11217048,123649753,11.3,11.35,10.8,10.85,-0.35,2597,0,10.8,12.75,2.56410256410251,5.967050485634998,9.42863305856059,16.35179820441177
22,99/02/03,6243089,67831963,11.0,11.0,10.75,10.8,-0.05,1450,0,10.75,12.45,2.941176470588278,4.958425813952758,7.938563977024646,13.898840303168424
23,99/02/04,3228803,35226177,10.9,11.0,10.8,10.95,+0.15,898,1,10.75,12.15,14.285714285714231,8.067521971206581,7.981549975085291,7.809605982842712
24,99/02/05,7455435,78899625,10.8,10.8,10.35,10.55,-0.40,1775,0,10.35,11.95,12.50000000000007,9.545014647471078,8.502704865880553,6.418085302699502
25,99/02/06,4364170,45116900,10.55,10.6,10.2,10.3,-0.25,1111,0,10.2,11.5,7.692307692307796,8.92744566241665,8.644285131392586,8.077964069344457
26,99/02/08,11521561,116426458,10.3,10.3,10.0,10.15,-0.15,2832,0,10.0,11.5,10.000000000000025,9.284963774944442,8.857844679243204,8.003606487840727
27,99/02/09,7826218,80274058,10.0,10.45,10.0,10.2,+0.05,1571,1,10.0,11.5,13.333333333333286,10.634420294407391,9.4500365509646,7.081269064079017
28,99/02/10,6183411,65078816,10.4,10.65,10.35,10.65,+0.45,1611,1,10.0,11.5,43.33333333333336,21.53405797404938,13.478043691992859,-2.6339848721201804
29,99/02/22,5022519,54395196,10.9,10.9,10.75,10.9,+0.25,1070,1,10.0,11.35,66.66666666666671,36.57826087158849,21.1781160851914,-9.62217348760278
30,99/02/23,14192537,159423204,10.85,11.4,10.85,11.4,+0.50,3106,1,10.0,11.4,100.0,57.718840581058984,33.35835758381393,-15.362608410676188
31,99/02/24,14561901,168789750,11.4,11.8,11.25,11.5,+0.10,3446,1,10.0,11.8,83.3333333333333,66.25700483181708,44.32457333314831,0.4597103358107688
32,99/02/25,9259667,105424745,11.55,11.6,11.2,11.25,-0.25,2341,0,10.0,11.8,69.44444444444441,67.31948470269286,51.98954378966316,21.32966196360374
33,99/02/26,4013896,45371012,11.25,11.4,11.25,11.3,+0.05,679,1,10.0,11.8,72.22222222222223,68.953730542536,57.644272707287435,35.025357036790325
34,99/03/01,5471681,63162277,11.5,11.7,11.3,11.5,+0.20,1400,1,10.0,11.8,83.3333333333333,73.74693147280176,63.011825629125546,41.54161394177311
35,99/03/02,4331182,50014829,11.6,11.65,11.5,11.55,+0.05,744,1,10.0,11.8,86.11111111111111,77.86832468557154,67.9639919812742,48.15532657267954
36,99/03/03,4458241,52024297,11.55,11.75,11.55,11.7,+0.15,1060,1,10.35,11.8,93.10344827586198,82.94669921566835,72.95822772607225,52.98128474688005
37,99/03/04,23493826,286426281,11.7,12.5,11.7,12.15,+0.45,4631,1,10.75,12.5,80.00000000000001,81.9644661437789,75.96030719864113,63.95198930836557
