data,volume,price,open,high,low,close,diff,times,result
99/12/01,10361984,418368653,39.40,41.40,39.10,40.50,X0.00,2956,0
99/12/02,4821804,193581755,40.50,41.20,39.30,39.35,-1.15,1536,0
99/12/03,2648951,105712990,39.50,40.40,39.50,40.00,+0.65,923,1
99/12/06,1998401,79377328,39.80,40.05,39.50,39.55,-0.45,725,0
99/12/07,2670216,106932538,39.95,40.30,39.80,39.80,+0.25,723,1
99/12/08,2223114,86591946,39.60,39.65,38.20,39.00,-0.80,912,0
99/12/09,1208315,46757009,39.00,39.20,38.40,38.60,-0.40,447,0
99/12/10,776768,30038371,38.55,39.15,38.40,39.00,+0.40,351,1
99/12/13,654579,25334827,39.00,39.15,38.60,38.65,-0.35,273,0
99/12/14,877004,33778755,38.80,38.80,38.30,38.60,-0.05,374,0
99/12/15,1692700,64498474,38.60,38.60,37.70,38.40,-0.20,543,0
99/12/16,694226,26376355,38.30,38.30,37.85,38.00,-0.40,229,0
99/12/17,999874,38172985,38.40,38.50,38.00,38.20,+0.20,297,1
99/12/20,728464,27858267,38.20,38.45,38.05,38.40,+0.20,259,1
99/12/21,488249,18708398,38.40,38.50,38.10,38.30,-0.10,224,0
99/12/22,830700,31710267,38.40,38.40,38.05,38.10,-0.20,307,0
99/12/23,958726,37074077,38.30,39.30,38.10,39.30,+1.20,360,1
99/12/24,870374,33772348,39.25,39.25,38.60,39.00,-0.30,279,0
99/12/27,1094894,42197446,38.80,38.80,38.35,38.80,-0.20,284,0
99/12/28,846082,32412087,38.80,38.80,38.20,38.30,-0.50,299,0
99/12/29,575500,22078424,38.50,38.60,38.10,38.55,+0.25,266,1
99/12/30,845150,32561360,38.30,39.00,38.20,38.80,+0.25,272,1
99/12/31,2771020,110545372,38.90,41.50,38.45,41.50,+2.70,702,1
100/01/03,1267850,50798406,40.80,40.80,39.80,39.80,-1.70,510,0
100/01/04,451330,17832633,39.80,39.90,39.20,39.55,-0.25,224,0
100/01/05,617810,24035647,39.50,39.50,38.60,38.60,-0.95,262,0
100/01/06,638000,24931149,38.60,39.40,38.60,38.90,+0.30,179,1
100/01/07,318559,12291043,38.60,38.80,38.45,38.50,-0.40,159,0
100/01/10,278263,10752071,38.75,39.00,38.40,38.50,0.00,106,0
100/01/11,191000,7399500,39.00,39.00,38.60,38.80,+0.30,86,1
100/01/12,220100,8542934,38.90,39.00,38.65,38.65,-0.15,100,0
100/01/13,235581,9120191,38.65,38.80,38.65,38.80,+0.15,107,1
100/01/14,104500,4054800,38.80,39.00,38.65,39.00,+0.20,63,1
100/01/17,1001676,38739592,39.00,39.00,38.40,38.60,-0.40,193,0
100/01/18,134458,5208112,39.00,39.00,38.60,38.80,+0.20,84,1
100/01/19,706844,27733817,39.20,39.40,39.10,39.25,+0.45,363,1
100/01/20,147000,5735750,39.05,39.20,38.75,38.95,-0.30,94,0
100/01/21,281049,10924311,39.00,39.20,38.60,39.20,+0.25,114,1
100/01/24,833924,32917895,39.30,39.80,39.15,39.45,+0.25,340,1
100/01/25,1288877,51546188,39.80,40.60,39.70,40.50,+1.05,461,1
100/01/26,1205656,48765323,40.50,40.75,40.30,40.30,-0.20,411,0
100/01/27,917474,37087441,40.30,40.70,40.20,40.30,0.00,308,0
100/01/28,926336,37482741,40.50,40.65,40.30,40.60,+0.30,277,1
100/02/08,922000,37391200,40.60,40.95,40.40,40.70,+0.10,205,1
100/02/09,772020,31286560,40.70,40.70,40.30,40.50,-0.20,244,0
