date,dividend,PE,netWorth,volume,price,open,high,low,close,diff,times,result
99/01/04,0,0.00,1.08,30268635,515087575,17.20,17.20,16.80,17.00,-0.20,5747,0
99/01/05,0,0.00,1.09,65133854,1119637425,17.20,17.35,17.05,17.20,+0.20,10198,1
99/01/06,0,0.00,1.17,145046936,2591783318,17.20,18.40,17.15,18.40,+1.20,24535,1
99/01/07,0,0.00,1.17,137964451,2586911933,18.60,19.10,18.40,18.40,0.00,24566,0
99/01/08,0,0.00,1.16,58947013,1068332609,18.40,18.45,17.85,18.20,-0.20,11053,0
99/01/11,0,0.00,1.18,108271047,2020545610,18.30,19.00,18.10,18.60,+0.40,16044,1
99/01/12,0,0.00,1.17,54024017,993965162,18.60,18.85,18.15,18.35,-0.25,11941,0
99/01/13,0,0.00,1.13,56187679,1005175676,18.00,18.00,17.80,17.85,-0.50,10446,0
99/01/14,0,0.00,1.14,35850344,632602540,17.85,18.05,17.85,17.95,+0.10,6691,1
99/01/15,0,0.00,1.14,35281871,633585407,18.00,18.15,17.85,18.00,+0.05,7077,1
99/01/18,0,0.00,1.13,47704137,848319410,17.80,18.10,17.55,17.85,-0.15,10125,0
99/01/19,0,0.00,1.11,45751877,810435563,17.90,18.10,17.55,17.55,-0.30,8789,0
99/01/20,0,0.00,1.15,65549113,1172625734,17.80,18.10,17.65,18.10,+0.55,10042,1
99/01/21,0,0.00,1.14,54920527,992585064,18.10,18.20,17.95,18.00,-0.10,8415,0
99/01/22,0,0.00,1.12,51483433,908830028,17.80,17.90,17.50,17.70,-0.30,9019,0
99/01/25,0,0.00,1.11,50492358,879354726,17.30,17.60,17.25,17.40,-0.30,7536,0
99/01/26,0,0.00,1.05,78575773,1326111568,17.50,17.55,16.40,16.50,-0.90,14949,0
99/01/27,0,0.00,1.04,48380668,798631335,16.60,16.60,16.35,16.40,-0.10,7169,0
99/01/28,0,0.00,1.05,72488732,1199833315,16.40,16.85,16.40,16.50,+0.10,9936,1
99/01/29,0,0.00,1.02,107483442,1697406759,16.20,16.20,15.50,16.05,-0.45,17247,0
99/02/01,0,0.00,0.98,57786532,902563246,15.90,15.95,15.50,15.50,-0.55,11331,0
99/02/02,0,0.00,0.99,49001518,768687481,15.90,15.90,15.45,15.60,+0.10,9866,1
99/02/03,0,0.00,1.06,93516485,1537423263,16.30,16.65,16.10,16.65,+1.05,16796,1
99/02/04,0,0.00,1.05,129928664,2187800611,16.80,17.15,16.50,16.50,-0.15,20952,0
99/02/05,0,0.00,1.00,158650118,2485195694,15.70,15.90,15.50,15.70,-0.80,21405,0
99/02/06,0,0.00,1.02,53872879,851522614,15.70,16.00,15.55,16.00,+0.30,9875,1
99/02/08,0,0.00,1.02,45149496,723049536,16.10,16.15,15.90,16.00,0.00,8479,0
99/02/09,0,0.00,1.03,58121512,942222259,16.00,16.35,16.00,16.25,+0.25,10052,1
99/02/10,0,0.00,1.03,81428506,1328246438,16.35,16.50,16.20,16.25,0.00,13497,0
99/02/22,0,0.00,1.05,61394948,1009605284,16.60,16.70,16.25,16.60,+0.35,10591,1
99/02/23,0,0.00,1.04,69451896,1121261522,16.00,16.30,16.00,16.30,-0.30,11517,0
99/02/24,0,0.00,1.01,80917098,1286946342,16.15,16.15,15.80,15.95,-0.35,13129,0
99/02/25,0,0.00,0.98,122272647,1905644689,15.95,15.95,15.35,15.50,-0.45,16907,0
99/02/26,0,0.00,0.98,73356277,1127631737,15.40,15.50,15.20,15.45,-0.05,11502,0
99/03/01,0,0.00,1.02,66465472,1054404718,15.55,16.05,15.45,16.00,+0.55,10135,1
99/03/02,0,0.00,1.00,55218151,874027090,16.05,16.10,15.70,15.75,-0.25,7965,0
99/03/03,0,0.00,1.01,40349151,637548840,15.85,15.90,15.70,15.90,+0.15,6172,1
99/03/04,0,0.00,1.00,39247860,620085430,16.00,16.00,15.65,15.80,-0.10,6620,0
99/03/05,0,0.00,1.02,61081335,978774560,16.00,16.15,15.90,16.10,+0.30,10375,1
99/03/08,0,0.00,1.03,49332854,797789630,16.25,16.30,16.05,16.20,+0.10,8516,1
99/03/09,0,0.00,1.04,54434093,885403354,16.25,16.35,16.00,16.35,+0.15,7831,1
99/03/10,0,0.00,1.05,60376080,996185147,16.50,16.60,16.40,16.60,+0.25,10059,1
99/03/11,0,0.00,1.06,46081229,768794893,16.70,16.85,16.55,16.70,+0.10,7744,1
99/03/12,0,0.00,1.06,28040653,466484240,16.70,16.75,16.50,16.75,+0.05,5706,1
99/03/15,0,0.00,1.04,40635849,665308904,16.60,16.70,16.25,16.30,-0.45,6579,0
99/03/16,0,0.00,1.05,33128403,539813134,16.20,16.50,16.15,16.50,+0.20,5793,1
99/03/17,0,0.00,1.07,57430023,958531246,16.70,16.80,16.50,16.80,+0.30,8459,1
99/03/18,0,0.00,1.06,46556111,781177839,16.80,16.90,16.60,16.75,-0.05,7276,0
99/03/19,0,0.00,1.08,47042803,796985770,16.80,17.10,16.80,16.95,+0.20,8178,1
99/03/22,0,0.00,1.06,38779951,645216426,16.75,16.75,16.55,16.75,-0.20,7349,0
99/03/23,0,0.00,1.05,30176138,503602232,16.90,16.90,16.55,16.55,-0.20,5991,0
99/03/24,0,0.00,1.06,31630222,531522544,16.85,16.90,16.75,16.75,+0.20,6812,1
99/03/25,0,0.00,1.06,24779587,412235101,16.75,16.85,16.50,16.70,-0.05,4688,0
99/03/26,0,0.00,1.03,35100341,589350952,16.60,17.00,16.50,17.00,+0.30,8546,1
99/03/29,55.83,0.00,1.02,45614285,767838492,17.00,17.05,16.75,16.75,-0.25,7602,0
99/03/30,56.00,0.00,1.02,23275961,390902114,16.85,16.85,16.75,16.80,+0.05,4360,1
99/03/31,56.17,0.00,1.02,48935549,830479102,16.90,17.15,16.80,16.85,+0.05,8808,1
99/04/01,56.33,0.00,1.03,53801527,912694437,16.85,17.10,16.80,16.90,+0.05,9047,1
99/04/02,55.83,0.00,1.02,23279083,392092966,16.90,17.00,16.70,16.75,-0.15,5059,0
99/04/06,56.83,0.00,1.04,44524652,759489368,16.85,17.15,16.85,17.05,+0.30,8217,1
99/04/07,57.33,0.00,1.05,29155793,499821936,17.10,17.20,17.05,17.20,+0.15,5561,1
99/04/08,56.83,0.00,1.04,34201818,586204404,17.20,17.25,17.05,17.05,-0.15,4984,0
99/04/09,56.50,2.95,1.03,23996441,408470260,17.20,17.20,16.90,16.95,-0.10,4341,0
99/04/12,56.50,2.95,1.03,16992643,287478999,17.00,17.00,16.80,16.95,0.00,3629,0
99/04/13,55.33,3.01,1.01,38342392,639925546,16.90,16.90,16.50,16.60,-0.35,6410,0
99/04/14,55.50,3.00,1.01,29363253,485368062,16.70,16.75,16.35,16.65,+0.05,5413,1
99/04/15,55.33,3.01,1.01,57329865,958287203,16.90,16.95,16.50,16.60,-0.05,7448,0
99/04/16,55.67,2.99,1.02,27518705,456580561,16.60,16.70,16.50,16.70,+0.10,4189,1
99/04/19,54.00,3.09,0.98,45741327,745850223,16.40,16.45,16.15,16.20,-0.50,9035,0
99/04/20,54.50,3.06,0.99,21969327,358848819,16.40,16.45,16.20,16.35,+0.15,4060,1
99/04/21,54.50,3.06,0.99,36412494,597559266,16.35,16.50,16.30,16.35,0.00,5774,0
99/04/22,54.17,3.08,0.99,26673952,432864535,16.20,16.35,16.15,16.25,-0.10,5925,0
99/04/23,54.00,3.09,0.98,24184351,394866539,16.45,16.45,16.20,16.20,-0.05,4227,0
99/04/26,56.00,2.98,1.02,73063101,1225833612,16.40,17.00,16.40,16.80,+0.60,10989,1
99/04/27,55.50,3.00,1.01,44909292,749893346,16.80,16.85,16.60,16.65,-0.15,4484,0
99/04/28,54.67,3.05,1.00,51366648,838696631,16.20,16.45,16.20,16.40,-0.25,7662,0
99/04/29,53.67,3.11,0.98,53507762,865333042,16.35,16.35,16.05,16.10,-0.30,9651,0
99/04/30,53.33,3.13,1.00,55997841,902492163,16.20,16.40,15.95,16.00,-0.10,10130,0
99/05/03,13.28,3.16,0.99,29139812,460655296,15.90,16.00,15.70,15.80,-0.20,5773,0
99/05/04,13.15,3.19,0.98,39539754,622502322,15.95,15.95,15.55,15.65,-0.15,6236,0
99/05/05,12.35,3.40,0.92,136550451,2047356045,15.30,15.30,14.70,14.70,-0.95,22764,0
99/05/06,12.39,3.39,0.92,76812231,1143741711,14.70,15.10,14.70,14.75,+0.05,13284,1
99/05/07,12.44,3.38,0.93,58276958,857147759,14.60,14.90,14.45,14.80,+0.05,9050,1
99/05/10,12.61,3.33,0.94,43910404,658462060,15.00,15.10,14.90,15.00,+0.20,6973,1
99/05/11,12.69,3.31,0.94,87477066,1327104314,15.40,15.40,15.00,15.10,+0.10,10339,1
99/05/12,12.52,3.36,0.93,39779963,597194757,15.30,15.30,14.85,14.90,-0.20,6514,0
99/05/13,12.86,3.27,0.96,40206719,612010521,15.20,15.35,15.10,15.30,+0.40,6589,1
99/05/14,12.77,3.29,0.95,23771193,362135327,15.20,15.30,15.20,15.20,-0.10,4884,0
99/05/17,12.52,3.36,0.93,41930118,622335733,15.00,15.05,14.70,14.90,-0.30,5919,0
99/05/18,12.35,3.40,0.92,34086053,504592685,14.90,15.00,14.70,14.70,-0.20,5988,0
99/05/19,12.14,3.46,0.90,50219597,725893003,14.50,14.60,14.30,14.45,-0.25,7817,0
99/05/20,11.76,3.57,0.88,80716408,1143810683,14.50,14.55,14.00,14.00,-0.45,13593,0
99/05/21,11.76,3.57,0.88,46456146,640994549,13.60,14.20,13.50,14.00,0.00,9462,0
99/05/24,12.02,3.50,0.89,47786161,683840526,14.35,14.40,14.20,14.30,+0.30,8520,1
99/05/25,11.60,3.62,0.86,39108600,544303928,14.00,14.05,13.80,13.80,-0.50,8438,0
99/05/26,11.76,3.57,0.88,33503267,469804888,14.05,14.15,13.95,14.00,+0.20,5279,1
99/05/27,11.85,3.55,0.88,28136324,394246220,14.00,14.20,13.80,14.10,+0.10,4364,1
99/05/28,12.06,3.48,0.90,45369320,653022116,14.40,14.60,14.25,14.35,+0.25,6470,1
99/05/31,12.69,3.31,0.94,49003507,721888836,14.60,15.10,14.40,15.10,+0.75,9283,1
99/06/01,12.44,3.38,0.93,32260789,478974441,15.00,15.00,14.70,14.80,-0.30,5462,0
99/06/02,12.10,3.47,0.90,52311215,759782451,14.35,14.75,14.35,14.40,-0.40,7294,0
99/06/03,12.52,3.36,0.93,40879641,607505096,14.80,14.95,14.65,14.90,+0.50,5944,1
99/06/04,12.31,3.41,0.92,36327772,537673572,15.00,15.00,14.65,14.65,-0.25,6638,0
99/06/07,11.93,3.52,0.89,46941376,668183572,14.10,14.25,14.00,14.20,-0.45,6230,0
99/06/08,11.76,3.57,0.88,66298715,928995660,14.05,14.15,13.95,14.00,-0.20,10410,0
99/06/09,11.60,3.62,0.86,83426834,1156817367,13.90,14.05,13.75,13.80,-0.20,10272,0
99/06/10,11.72,3.58,0.87,26406169,368423445,14.00,14.05,13.85,13.95,+0.15,3968,1
99/06/11,12.02,3.50,0.89,27573452,394775834,14.50,14.50,14.20,14.30,+0.35,5386,1
99/06/14,12.23,3.44,0.91,25756960,372344123,14.40,14.55,14.35,14.55,+0.25,5160,1
99/06/15,12.35,3.40,0.92,32458560,475084665,14.55,14.80,14.45,14.70,+0.15,5872,1
99/06/17,12.61,3.33,0.94,107752452,1628399730,15.05,15.30,14.95,15.00,+0.30,18158,1
99/06/18,12.56,3.34,0.93,41579735,618420789,15.05,15.05,14.75,14.95,-0.05,5662,0
